,player,team,year,injured,previous
5604,Matt Bowman,St. Louis Cardinals,2018,yes,no
5605,Erik Goeddel,Los Angeles Dodgers,2018,yes,yes
5606,Brett Anderson,Oakland Athletics,2018,yes,yes
5607,Matt Moore,Texas Rangers,2018,yes,yes
5611,Ryan Madson,Washington Nationals,2018,yes,yes
5614,Jose Valdez,San Francisco Giants,2018,yes,no
5615,Jake Faria,Tampa Bay Rays,2018,yes,yes
5618,Austin Brice,Cincinnati Reds,2018,yes,yes
5623,Wilmer Font,Tampa Bay Rays,2018,yes,yes
5627,Greg Holland,St. Louis Cardinals,2018,yes,yes
5628,Eric Skoglund,Kansas City Royals,2018,yes,no
5629,Santiago Casilla,Oakland Athletics,2018,yes,yes
5631,Nick Vincent,Seattle Mariners,2018,yes,yes
5632,Alex Colome,Seattle Mariners,2018,yes,yes
5633,Ivan Nova,Pittsburgh Pirates,2018,yes,yes
5634,Adam Ottavino,Colorado Rockies,2018,yes,yes
5635,AJ Ramos,New York Mets,2018,yes,yes
5636,Phil Hughes,San Diego Padres,2018,yes,yes
5637,Noah Syndergaard,New York Mets,2018,yes,yes
5640,Daniel Stumpf,Detroit Tigers,2018,yes,yes
5641,Carl Edwards Jr.,Chicago Cubs,2018,yes,yes
5642,Francisco Liriano,Detroit Tigers,2018,yes,yes
5643,Blaine Boyer,Kansas City Royals,2018,yes,yes
5648,Kenta Maeda,Los Angeles Dodgers,2018,yes,yes
5653,Oliver Drake,Los Angeles Angels,2018,yes,yes
5657,Homer Bailey,Cincinnati Reds,2018,yes,yes
5658,Nick Wittgren,Miami Marlins,2018,yes,yes
5659,Jorge De La Rosa,Arizona Diamondbacks,2018,yes,yes
5660,Tim Collins,Washington Nationals,2018,yes,yes
5662,Jeremy Hellickson,Washington Nationals,2018,yes,yes
5663,Chris Archer,Tampa Bay Rays,2013,yes,no
5665,Julio Teheran,Atlanta Braves,2018,yes,yes
5666,Daniel Gossett,Oakland Athletics,2018,yes,no
5678,Juan Nicasio,Seattle Mariners,2018,yes,yes
5679,Jeurys Familia,New York Mets,2018,yes,yes
5681,Shohei Ohtani,Los Angeles Angels,2018,yes,no
5682,Mike Dunn,Colorado Rockies,2018,yes,yes
5683,Dennis Santana,Los Angeles Dodgers,2018,yes,no
5685,Richard Rodriguez,Pittsburgh Pirates,2018,yes,no
5687,Masahiro Tanaka,New York Yankees,2018,yes,yes
5688,Harrison Musgrave,Colorado Rockies,2018,yes,no
5691,Brandon Kintzler,Washington Nationals,2018,yes,yes
5692,Stephen Strasburg,Washington Nationals,2018,yes,yes
5693,Scott Oberg,Colorado Rockies,2018,yes,yes
5696,Joe Smith,Houston Astros,2018,yes,yes
5697,Pedro Araujo,Baltimore Orioles,2018,yes,no
5698,Preston Guilmet,Toronto Blue Jays,2018,yes,no
5699,Walker Buehler,Los Angeles Dodgers,2018,yes,no
5701,Matt Albers,Milwaukee Brewers,2018,yes,yes
5702,Andrew Cashner,Baltimore Orioles,2018,yes,yes
5708,Chris Beck,New York Mets,2018,yes,no
5712,Richard Bleier,Baltimore Orioles,2018,yes,no
5713,Pedro Baez,Los Angeles Dodgers,2018,yes,yes
5714,Jim Johnson,Los Angeles Angels,2018,yes,yes
5716,Matt Bush,Texas Rangers,2018,yes,yes
5717,Caleb Smith,Miami Marlins,2018,yes,yes
5720,Garrett Richards,Los Angeles Angels,2018,yes,yes
5723,Mike Foltynewicz,Atlanta Braves,2018,yes,yes
5725,Luis Garcia,Philadelphia Phillies,2018,yes,yes
5728,Carlos Carrasco,Cleveland Indians,2018,yes,yes
5730,Brian Duensing,Chicago Cubs,2018,yes,yes
5733,Sam Gaviglio,Toronto Blue Jays,2018,yes,no
5734,Evan Marshall,Cleveland Indians,2018,yes,yes
5735,Hunter Strickland,San Francisco Giants,2018,yes,yes
5740,Kelvin Herrera,Washington Nationals,2018,yes,yes
5741,Drew VerHagen,Detroit Tigers,2018,yes,yes
5742,Brandon Morrow,Chicago Cubs,2018,yes,yes
5743,Bryan Mitchell,San Diego Padres,2018,yes,yes
5745,Michael Wacha,St. Louis Cardinals,2018,yes,yes
5746,A.J. Cole,New York Yankees,2018,yes,yes
5750,Jose Urena,Miami Marlins,2018,yes,yes
5753,Danny Barnes,Toronto Blue Jays,2018,yes,yes
5755,Aaron Sanchez,Toronto Blue Jays,2018,yes,yes
5761,Michael Feliz,Pittsburgh Pirates,2018,yes,yes
5762,Jordan Lyles,San Diego Padres,2018,yes,yes
5764,Arodys Vizcaino,Atlanta Braves,2018,yes,yes
5765,Bryan Shaw,Colorado Rockies,2018,yes,no
5766,Edubray Ramos,Philadelphia Phillies,2018,yes,no
5770,Tyler Chatwood,Chicago Cubs,2018,yes,yes
5773,Jonny Venters,Tampa Bay Rays,2018,yes,yes
5774,Clay Buchholz,Arizona Diamondbacks,2018,yes,yes
5775,Justin Hancock,Chicago Cubs,2018,yes,no
5777,Dylan Bundy,Baltimore Orioles,2018,yes,yes
5778,Daniel Mengden,Oakland Athletics,2018,yes,yes
5783,John Lamb,Los Angeles Angels,2018,yes,yes
5790,Brandon McCarthy,Atlanta Braves,2018,yes,yes
5791,Jake Jewell,Los Angeles Angels,2018,yes,no
5794,Chad Kuhl,Pittsburgh Pirates,2018,yes,no
5797,Ryan Tepera,Toronto Blue Jays,2018,yes,no
5802,Vince Velasquez,Philadelphia Phillies,2018,yes,yes
5803,Shane Greene,Detroit Tigers,2018,yes,yes
5805,Peter Moylan,Atlanta Braves,2018,yes,yes
5807,Chad Bettis,Colorado Rockies,2018,yes,yes
5815,Tyler Skaggs,Los Angeles Angels,2018,yes,yes
5816,Ian Kennedy,Kansas City Royals,2018,yes,yes
5817,Vidal Nuno,Tampa Bay Rays,2018,yes,yes
5822,Tayron Guerrero,Miami Marlins,2018,yes,no
5824,Erick Fedde,Washington Nationals,2018,yes,yes
5828,Oscar De La Cruz,Chicago Cubs,2018,yes,no
5830,Max Fried,Atlanta Braves,2018,yes,no
5831,Brent Suter,Milwaukee Brewers,2018,yes,yes
5832,Enny Romero,Kansas City Royals,2018,yes,yes
5841,Jose Castillo,San Diego Padres,2018,yes,no
5844,Chaz Roe,Tampa Bay Rays,2018,yes,yes
5845,Anthony Bass,Chicago Cubs,2018,yes,yes
5846,Brian Johnson,Boston Red Sox,2018,yes,yes
5847,Rhiner Cruz,Toronto Blue Jays,2018,yes,yes
5850,Jakob Junis,Kansas City Royals,2018,yes,no
5851,Cory Gearrin,Texas Rangers,2018,yes,yes
5852,Drew Rucinski,Miami Marlins,2018,yes,no
5854,Chris Archer,Tampa Bay Rays,2018,yes,yes
5856,Josh Tomlin,Cleveland Indians,2018,yes,yes
5858,Sean Doolittle,Washington Nationals,2018,yes,yes
5860,Felix Hernandez,Seattle Mariners,2018,yes,yes
5862,Gerrit Cole,Houston Astros,2018,yes,yes
5868,Addison Reed,Minnesota Twins,2018,yes,yes
5874,T.J. McFarland,Arizona Diamondbacks,2018,yes,yes
5879,Marco Estrada,Toronto Blue Jays,2018,yes,yes
5884,James Paxton,Seattle Mariners,2018,yes,yes
5885,Antonio Senzatela,Colorado Rockies,2018,yes,no
5889,Zac Rosscup,Los Angeles Dodgers,2018,yes,yes
5891,Alex Claudio,Texas Rangers,2018,yes,yes
5893,Junior Guerra,Milwaukee Brewers,2018,yes,yes
5895,Aaron Slegers,Minnesota Twins,2018,yes,no
5900,Zach Eflin,Philadelphia Phillies,2018,yes,yes
5905,Miles Mikolas,St. Louis Cardinals,2018,yes,no
5906,Jose Alvarado,Tampa Bay Rays,2018,yes,yes
5909,Michael Fulmer,Detroit Tigers,2018,yes,yes
5910,Adam Cimber,Cleveland Indians,2018,yes,no
5911,Brad Hand,Cleveland Indians,2018,yes,yes
5919,Jesse Chavez,Chicago Cubs,2018,yes,yes
5923,Jeurys Familia,Oakland Athletics,2018,yes,yes
5926,German Marquez,Colorado Rockies,2018,yes,yes
5930,Blake Snell,Tampa Bay Rays,2018,yes,no
5931,Colten Brewer,San Diego Padres,2018,yes,no
5934,Jackson Stephens,Cincinnati Reds,2018,yes,no
5945,Jalen Beeks,Tampa Bay Rays,2018,yes,no
5946,Zach Britton,New York Yankees,2018,yes,yes
5947,Jonny Venters,Atlanta Braves,2018,yes,yes
5952,Seunghwan Oh,Colorado Rockies,2018,yes,no
5954,J.A. Happ,New York Yankees,2018,yes,yes
5956,Luis Perdomo,San Diego Padres,2018,yes,yes
5958,Cole Hamels,Chicago Cubs,2018,yes,yes
5959,Sam Tuivailala,Seattle Mariners,2018,yes,yes
5961,Ross Stripling,Los Angeles Dodgers,2018,yes,no
5963,Sam Freeman,Atlanta Braves,2018,yes,yes
5964,Brad Brach,Atlanta Braves,2018,yes,no
5967,Chasen Shreve,St. Louis Cardinals,2018,yes,yes
5971,Chris Sale,Boston Red Sox,2018,yes,yes
5974,Eric Lauer,San Diego Padres,2018,yes,no
5977,Roenis Elias,Seattle Mariners,2018,yes,yes
5978,Zach Duke,Seattle Mariners,2018,yes,yes
5979,Andrew Chafin,Arizona Diamondbacks,2018,yes,yes
5980,Tyler Glasnow,Tampa Bay Rays,2018,yes,yes
5981,Chris Archer,Pittsburgh Pirates,2018,yes,yes
5983,Lance Lynn,New York Yankees,2018,yes,yes
5984,Brandon Kintzler,Chicago Cubs,2018,yes,yes
5985,Adam Warren,Seattle Mariners,2018,yes,yes
5987,Kevin Gausman,Atlanta Braves,2018,yes,yes
5989,Aaron Loup,Philadelphia Phillies,2018,yes,yes
5990,Ken Giles,Toronto Blue Jays,2018,yes,yes
5991,Brad Ziegler,Arizona Diamondbacks,2018,yes,yes
5993,Jhan Marinez,Baltimore Orioles,2018,yes,yes
5996,Keone Kela,Pittsburgh Pirates,2018,yes,yes
5997,Chris Devenski,Houston Astros,2018,yes,no
5998,John Axford,Los Angeles Dodgers,2018,yes,yes
6001,Steven Matz,New York Mets,2018,yes,yes
6003,Oliver Drake,Minnesota Twins,2018,yes,yes
6004,Taylor Williams,Milwaukee Brewers,2018,yes,no
6006,Alex Wood,Los Angeles Dodgers,2018,yes,yes
6008,Matt Magill,Minnesota Twins,2018,yes,yes
6011,Roberto Osuna,Houston Astros,2018,yes,yes
6012,Lance McCullers Jr.,Houston Astros,2018,yes,yes
6014,John Brebbia,St. Louis Cardinals,2018,yes,no
6015,Shawn Kelley,Oakland Athletics,2018,yes,yes
6017,Jordan Lyles,Milwaukee Brewers,2018,yes,yes
6018,Daniel Hudson,Los Angeles Dodgers,2018,yes,yes
6020,Mike Fiers,Oakland Athletics,2018,yes,yes
6022,Tyson Ross,St. Louis Cardinals,2018,yes,yes
6024,Matt Belisle,Minnesota Twins,2018,yes,yes
6025,Shane Carle,Atlanta Braves,2018,yes,yes
6033,Fernando Rodney,Oakland Athletics,2018,yes,yes
6034,Kyle Barraclough,Miami Marlins,2018,yes,yes
6036,Adalberto Mejia,Minnesota Twins,2018,yes,yes
6037,Joakim Soria,Milwaukee Brewers,2018,yes,yes
6043,Danny Duffy,Kansas City Royals,2018,yes,yes
6047,Trevor Bauer,Cleveland Indians,2018,yes,no
6056,Artie Lewicki,Detroit Tigers,2018,yes,no
6058,Austin Davis,Philadelphia Phillies,2018,yes,no
6059,Hansel Robles,Los Angeles Angels,2018,yes,yes
6061,Dereck Rodriguez,San Francisco Giants,2018,yes,no
