,player,team,year,injured,previous
157,Ryan Rowland-Smith,Seattle Mariners,2009,yes,no
158,Scott Lewis,Cleveland Indians,2009,yes,no
159,Brandon Webb,Arizona Diamondbacks,2009,yes,no
160,Doug Brocail,Houston Astros,2009,yes,no
161,Jesse Litsch,Toronto Blue Jays,2009,yes,no
162,Brian Moehler,Houston Astros,2009,yes,no
163,Mitchell Boggs,St. Louis Cardinals,2009,yes,no
164,Chris Carpenter,St. Louis Cardinals,2009,yes,no
165,Alberto Arias,Houston Astros,2009,yes,no
167,Alfredo Simon,Baltimore Orioles,2009,yes,no
169,Daisuke Matsuzaka,Boston Red Sox,2009,yes,no
170,David Riske,Milwaukee Brewers,2009,yes,no
171,Jorge Campillo,Atlanta Braves,2009,yes,no
172,Dustin Moseley,Los Angeles Angels,2009,yes,no
173,Anthony Claggett,New York Yankees,2009,yes,no
174,Cory Wade,Los Angeles Dodgers,2009,yes,no
175,Walter Silva,San Diego Padres,2009,yes,no
176,Jesse Crain,Minnesota Twins,2009,yes,no
177,Garrett Mock,Washington Nationals,2009,yes,no
178,Jason Bergmann,Washington Nationals,2009,yes,no
179,Andrew Miller,Florida Marlins,2009,yes,no
180,Doug Waechter,Kansas City Royals,2009,yes,no
181,Joe Beimel,Washington Nationals,2009,yes,no
182,Kris Benson,Texas Rangers,2009,yes,no
183,Darren Oliver,Los Angeles Angels,2009,yes,no
184,B.J. Ryan,Toronto Blue Jays,2009,yes,no
186,Chien-Ming Wang,New York Yankees,2009,yes,no
187,Joel Zumaya,Detroit Tigers,2009,yes,no
188,Brian Bruney,New York Yankees,2009,yes,no
189,Craig Hansen,Pittsburgh Pirates,2009,yes,yes
191,Trevor Hoffman,Milwaukee Brewers,2009,yes,no
192,Shawn Hill,San Diego Padres,2009,yes,no
194,Jose Valverde,Houston Astros,2009,yes,no
195,Roy Corcoran,Seattle Mariners,2009,yes,no
196,Hung-Chih Kuo,Los Angeles Dodgers,2009,yes,no
197,Joe Smith,Cleveland Indians,2009,yes,no
198,Dennis Sarfate,Baltimore Orioles,2009,yes,no
199,Brandon Morrow,Seattle Mariners,2009,yes,no
200,Santiago Casilla,Oakland Athletics,2009,yes,no
201,Bob McCrory,Baltimore Orioles,2009,yes,no
202,Damaso Marte,New York Yankees,2009,yes,no
206,Carlos Zambrano,Chicago Cubs,2009,yes,no
208,Shawn Kelley,Seattle Mariners,2009,yes,no
209,Oliver Perez,New York Mets,2009,yes,no
210,Anibal Sanchez,Florida Marlins,2009,yes,no
212,Yusmeiro Petit,Arizona Diamondbacks,2009,yes,no
213,Carlos Silva,Seattle Mariners,2009,yes,no
214,Chad Fox,Chicago Cubs,2009,yes,no
215,Joakim Soria,Kansas City Royals,2009,yes,no
216,Clay Zavada,Arizona Diamondbacks,2009,yes,no
217,Dontrelle Willis,Detroit Tigers,2009,yes,no
218,Nate Robertson,Detroit Tigers,2009,yes,no
219,Geoff Geary,Houston Astros,2009,yes,no
223,Frank Francisco,Texas Rangers,2009,yes,no
224,Rich Hill,Baltimore Orioles,2009,yes,no
226,Scott Olsen,Washington Nationals,2009,yes,no
227,Tyler Yates,Pittsburgh Pirates,2009,yes,no
228,Dan Giese,Oakland Athletics,2009,yes,no
229,Matt Daley,Colorado Rockies,2009,yes,no
233,Glen Perkins,Minnesota Twins,2009,yes,no
234,Nick Masset,Cincinnati Reds,2009,yes,no
236,Scott Schoeneweis,Arizona Diamondbacks,2009,yes,no
238,Edinson Volquez,Cincinnati Reds,2009,yes,no
240,Rich Harden,Chicago Cubs,2009,yes,no
243,Vicente Padilla,Texas Rangers,2009,yes,no
245,Scott Kazmir,Tampa Bay Rays,2009,yes,no
246,Troy Percival,Tampa Bay Rays,2009,yes,no
247,Anthony Reyes,Cleveland Indians,2009,yes,no
248,Renyel Pinto,Florida Marlins,2009,yes,no
249,Aaron Laffey,Cleveland Indians,2009,yes,no
250,Shane Loux,Los Angeles Angels,2009,yes,no
251,Robinson Tejeda,Kansas City Royals,2009,yes,no
253,Brian Shouse,Tampa Bay Rays,2009,yes,no
257,Koji Uehara,Baltimore Orioles,2009,yes,no
258,Scot Shields,Los Angeles Angels,2009,yes,no
260,Brandon Backe,Houston Astros,2009,yes,no
261,Matt Harrison,Texas Rangers,2009,yes,no
262,Will Ohman,Los Angeles Dodgers,2009,yes,no
264,Brett Myers,Philadelphia Phillies,2009,yes,no
266,Donnie Veal,Pittsburgh Pirates,2009,yes,no
269,Rafael Betancourt,Cleveland Indians,2009,yes,no
272,Sidney Ponson,Kansas City Royals,2009,yes,no
274,Kip Wells,Washington Nationals,2009,yes,no
277,J.C. Romero,Philadelphia Phillies,2009,yes,no
279,Mark DiFelice,Milwaukee Brewers,2009,yes,no
281,Kyle Lohse,St. Louis Cardinals,2009,yes,no
282,J.J. Putz,New York Mets,2009,yes,no
284,Eric Milton,Los Angeles Dodgers,2009,yes,no
287,Luis Perdomo,San Diego Padres,2009,yes,no
289,Blaine Boyer,Arizona Diamondbacks,2009,yes,yes
290,Brandon McCarthy,Texas Rangers,2009,yes,no
291,Bartolo Colon,Chicago White Sox,2009,yes,no
293,Brad Lidge,Philadelphia Phillies,2009,yes,no
296,Felipe Paulino,Houston Astros,2009,yes,no
298,Scott Eyre,Philadelphia Phillies,2009,yes,no
299,John Maine,New York Mets,2009,yes,no
307,Luke Gregerson,San Diego Padres,2009,yes,no
308,Erik Bedard,Seattle Mariners,2009,yes,no
310,Mike Hampton,Houston Astros,2009,yes,no
311,Mike Lincoln,Cincinnati Reds,2009,yes,no
313,Kiko Calero,Florida Marlins,2009,yes,no
314,Roy Halladay,Toronto Blue Jays,2009,yes,no
315,Scott Downs,Toronto Blue Jays,2009,yes,no
317,Chris Young,San Diego Padres,2009,yes,no
318,Manny Corpas,Colorado Rockies,2009,yes,no
320,Angel Guzman,Chicago Cubs,2009,yes,yes
323,Clay Condrey,Philadelphia Phillies,2009,yes,no
324,Dave Bush,Milwaukee Brewers,2009,yes,no
325,Josh Outman,Oakland Athletics,2009,yes,no
326,Matt Lindstrom,Florida Marlins,2009,yes,no
329,Jeff Bennett,Atlanta Braves,2009,yes,no
330,Kyle Farnsworth,Kansas City Royals,2009,yes,no
333,Leo Rosales,Arizona Diamondbacks,2009,yes,no
334,Jose Veras,Cleveland Indians,2009,yes,no
339,Chris Perez,Cleveland Indians,2009,yes,no
341,Antonio Bastardo,Philadelphia Phillies,2009,yes,no
342,Scott Richmond,Toronto Blue Jays,2009,yes,no
343,Kevin Slowey,Minnesota Twins,2009,yes,no
347,Chris Ray,Baltimore Orioles,2009,yes,no
349,David Patton,Chicago Cubs,2009,yes,no
350,Dallas Braden,Oakland Athletics,2009,yes,no
352,Ryan Dempster,Chicago Cubs,2009,yes,no
356,Ronald Belisario,Los Angeles Dodgers,2009,yes,no
361,Chris Sampson,Houston Astros,2009,yes,no
364,Alan Embree,Colorado Rockies,2009,yes,no
366,Grant Balfour,Tampa Bay Rays,2009,yes,no
367,Pedro Martinez,Philadelphia Phillies,2009,yes,no
372,Gil Meche,Kansas City Royals,2009,yes,no
377,Fernando Nieve,New York Mets,2009,yes,no
378,Tim Wakefield,Boston Red Sox,2009,yes,no
379,Ryan Speier,Colorado Rockies,2009,yes,no
380,Jordan Zimmermann,Washington Nationals,2009,yes,no
383,Chad Durbin,Philadelphia Phillies,2009,yes,no
387,Ted Lilly,Chicago Cubs,2009,yes,no
388,Seth McClung,Milwaukee Brewers,2009,yes,no
389,Jared Burton,Cincinnati Reds,2009,yes,no
391,Micah Owings,Cincinnati Reds,2009,yes,no
394,LaTroy Hawkins,Houston Astros,2009,yes,no
399,Jeff Suppan,Milwaukee Brewers,2008,yes,no
400,Brad Bergesen,Baltimore Orioles,2009,yes,no
401,Claudio Vargas,Milwaukee Brewers,2009,yes,yes
402,Juan Rincon,Colorado Rockies,2009,yes,no
404,Jason Grilli,Texas Rangers,2009,yes,no
405,Burke Badenhop,Florida Marlins,2009,yes,no
407,Henry Sosa,San Francisco Giants,2009,yes,no
408,Jonathon Niese,New York Mets,2009,yes,no
409,Juan Cruz,Kansas City Royals,2009,yes,no
414,Clayton Mortensen,Oakland Athletics,2009,yes,no
417,Joe Saunders,Los Angeles Angels,2009,yes,yes
419,Chad Gaudin,New York Yankees,2009,yes,no
422,Todd Wellemeyer,St. Louis Cardinals,2009,yes,no
423,David Weathers,Milwaukee Brewers,2009,yes,no
426,Evan Meek,Pittsburgh Pirates,2009,yes,no
427,Wesley Wright,Houston Astros,2009,yes,no
430,Jose Ascanio,Pittsburgh Pirates,2009,yes,no
432,Francisco Liriano,Minnesota Twins,2009,yes,yes
434,Eddie Guardado,Texas Rangers,2009,yes,no
437,Johnny Cueto,Cincinnati Reds,2009,yes,no
438,Jeff Karstens,Pittsburgh Pirates,2009,yes,yes
440,Michael Bowden,Boston Red Sox,2009,yes,no
442,Jesus Colome,Milwaukee Brewers,2009,yes,no
444,Aaron Cook,Colorado Rockies,2009,yes,no
445,Brendan Donnelly,Florida Marlins,2009,yes,no
446,Aaron Harang,Cincinnati Reds,2008,yes,no
449,Johan Santana,New York Mets,2009,yes,no
450,Jeff Suppan,Milwaukee Brewers,2009,yes,yes
455,Billy Wagner,Boston Red Sox,2009,yes,yes
458,Guillermo Mota,Los Angeles Dodgers,2009,yes,yes
460,Tim Hudson,Atlanta Braves,2009,yes,no
467,Jose Contreras,Colorado Rockies,2009,yes,no
477,Sean White,Seattle Mariners,2009,yes,no
481,Justin Miller,San Francisco Giants,2009,yes,no
482,Randy Johnson,San Francisco Giants,2009,yes,no
484,Kam Mickolio,Baltimore Orioles,2009,yes,no
485,Vin Mazzaro,Oakland Athletics,2009,yes,no
487,Junichi Tazawa,Boston Red Sox,2009,yes,no
488,Bruce Chen,Kansas City Royals,2009,yes,no
489,Josh Kinney,St. Louis Cardinals,2009,yes,no
491,Roy Oswalt,Houston Astros,2009,yes,no
494,Anthony Claggett,Pittsburgh Pirates,2009,yes,yes
502,Aaron Harang,Cincinnati Reds,2009,yes,yes
503,Chan Ho Park,Philadelphia Phillies,2009,yes,no
506,Mike Ekstrom,San Diego Padres,2009,yes,no
507,Jackson Quezada,San Diego Padres,2009,yes,no
508,Gaby Hernandez,Seattle Mariners,2009,yes,no
509,Jaime Garcia,St. Louis Cardinals,2009,yes,no
510,Brad Thompson,St. Louis Cardinals,2009,yes,no
512,Bill Murphy,Toronto Blue Jays,2009,yes,no
513,Jorge De La Rosa,Colorado Rockies,2009,yes,no
514,Randy Flores,Colorado Rockies,2009,yes,no
515,Josh Fogg,Colorado Rockies,2009,yes,no
516,Matt Herges,Colorado Rockies,2009,yes,no
518,Freddy Dolsi,Detroit Tigers,2009,yes,no
520,Henry Barrera,Kansas City Royals,2009,yes,no
521,Julio Cesar Pimentel,Kansas City Royals,2009,yes,no
522,Tim Dillard,Milwaukee Brewers,2009,yes,no
523,Jack Egbert,New York Mets,2009,yes,no
524,Arturo Lopez,New York Mets,2009,yes,no
525,Jo-Jo Reyes,Atlanta Braves,2009,yes,no
526,Manny Delcarmen,Boston Red Sox,2009,yes,no
528,Neal Cotts,Chicago Cubs,2009,yes,no
529,Adam Miller,Cleveland Indians,2009,yes,no
530,Jose Arredondo,Los Angeles Angels,2009,yes,no
531,Jon Garland,Los Angeles Dodgers,2009,yes,no
532,Charlie Haeger,Los Angeles Dodgers,2009,yes,no
536,Jeff Weaver,Los Angeles Dodgers,2009,yes,no
537,Anthony Ortega,Los Angeles Angels,2009,yes,no
553,Jamie Moyer,Philadelphia Phillies,2009,yes,no
556,Sergio Mitre,New York Yankees,2009,yes,no
557,Edwar Ramirez,New York Yankees,2009,yes,no
560,Pat Neshek,Minnesota Twins,2009,yes,no
570,Greg Reynolds,Colorado Rockies,2009,yes,no
580,Jesse Litsch,Toronto Blue Jays,2010,yes,yes
581,Dirk Hayhurst,Toronto Blue Jays,2010,yes,no
582,Edinson Volquez,Cincinnati Reds,2010,yes,yes
583,Eric Hurley,Texas Rangers,2010,yes,yes
584,David Riske,Milwaukee Brewers,2010,yes,yes
585,Ronald Belisario,Los Angeles Dodgers,2010,yes,yes
586,Bobby Seay,Detroit Tigers,2010,yes,no
587,Zach Miner,Detroit Tigers,2010,yes,no
588,Jairo Asencio,Atlanta Braves,2010,yes,no
589,Jeff Suppan,Milwaukee Brewers,2010,yes,yes
590,Hector Ambriz,Cleveland Indians,2010,yes,no
591,Erik Bedard,Seattle Mariners,2010,yes,yes
592,Kelvim Escobar,New York Mets,2010,yes,yes
593,Boof Bonser,Boston Red Sox,2010,yes,yes
594,Joe Nathan,Minnesota Twins,2010,yes,no
595,Alberto Arias,Houston Astros,2010,yes,yes
596,Yorman Bazardo,Houston Astros,2010,yes,no
597,J.C. Romero,Philadelphia Phillies,2010,yes,yes
598,Brad Lidge,Philadelphia Phillies,2010,yes,yes
599,Scott Kazmir,Los Angeles Angels,2010,yes,yes
600,Junichi Tazawa,Boston Red Sox,2010,yes,yes
601,Koji Uehara,Baltimore Orioles,2010,yes,yes
602,Greg Reynolds,Colorado Rockies,2010,yes,yes
603,Jeff Francis,Colorado Rockies,2010,yes,yes
604,Gil Meche,Kansas City Royals,2010,yes,yes
605,Joe Blanton,Philadelphia Phillies,2010,yes,no
606,Taylor Buchholz,Colorado Rockies,2010,yes,yes
607,Clay Condrey,Minnesota Twins,2010,yes,yes
608,Huston Street,Colorado Rockies,2010,yes,no
609,Brian Sanches,Florida Marlins,2010,yes,no
610,J.P. Howell,Tampa Bay Rays,2010,yes,no
611,Michael Wuertz,Oakland Athletics,2010,yes,no
612,Chien-Ming Wang,Washington Nationals,2010,yes,yes
613,Angel Guzman,Chicago Cubs,2010,yes,yes
614,Ted Lilly,Chicago Cubs,2010,yes,yes
615,Hung-Chih Kuo,Los Angeles Dodgers,2010,yes,yes
616,Cliff Lee,Seattle Mariners,2010,yes,no
617,Joel Hanrahan,Pittsburgh Pirates,2010,yes,no
618,Jose Ascanio,Pittsburgh Pirates,2010,yes,yes
619,Joe Thatcher,San Diego Padres,2010,yes,no
620,Tommy Hunter,Texas Rangers,2010,yes,no
621,Warner Madrigal,Texas Rangers,2010,yes,no
622,Daisuke Matsuzaka,Boston Red Sox,2010,yes,yes
623,Kerry Wood,Cleveland Indians,2010,yes,no
624,Joey Devine,Oakland Athletics,2010,yes,yes
625,Josh Outman,Oakland Athletics,2010,yes,yes
626,Brandon Webb,Arizona Diamondbacks,2010,yes,yes
627,Cory Wade,Los Angeles Dodgers,2010,yes,yes
628,Dustin McGowan,Toronto Blue Jays,2010,yes,yes
629,Sammy Gervacio,Houston Astros,2010,yes,no
631,Sean Green,New York Mets,2010,yes,yes
632,Chris Young,San Diego Padres,2010,yes,yes
634,Chan Ho Park,New York Yankees,2010,yes,yes
635,Brian Fuentes,Los Angeles Angels,2010,yes,no
636,Esmailin Caridad,Chicago Cubs,2010,yes,no
637,Michael Gonzalez,Baltimore Orioles,2010,yes,no
638,Chris Leroux,Florida Marlins,2010,yes,no
641,Garrett Mock,Washington Nationals,2010,yes,yes
642,Ross Ohlendorf,Pittsburgh Pirates,2010,yes,no
643,Jose Mijares,Minnesota Twins,2010,yes,no
644,Ryota Igarashi,New York Mets,2010,yes,no
646,Brian Tallet,Toronto Blue Jays,2010,yes,no
648,Jason Marquis,Washington Nationals,2010,yes,no
650,Jeff Weaver,Los Angeles Dodgers,2010,yes,yes
652,Vicente Padilla,Los Angeles Dodgers,2010,yes,yes
653,Chris Jakubauskas,Pittsburgh Pirates,2010,yes,no
654,Dan Meyer,Florida Marlins,2010,yes,no
656,Brett Anderson,Oakland Athletics,2009,yes,no
657,Jorge De La Rosa,Colorado Rockies,2010,yes,yes
658,Jason Hammel,Colorado Rockies,2010,yes,no
659,Leo Rosales,Arizona Diamondbacks,2010,yes,yes
660,Kris Benson,Arizona Diamondbacks,2010,yes,yes
661,John Parrish,Kansas City Royals,2010,yes,no
662,Ryan Madson,Philadelphia Phillies,2010,yes,no
665,Clay Hensley,Florida Marlins,2010,yes,no
669,Sean Gallagher,San Diego Padres,2010,yes,no
670,Tim Byrdak,Houston Astros,2010,yes,no
671,Brendan Donnelly,Pittsburgh Pirates,2010,yes,yes
673,Jair Jurrjens,Atlanta Braves,2010,yes,no
675,Justin Duchscherer,Oakland Athletics,2010,yes,yes
679,LaTroy Hawkins,Milwaukee Brewers,2010,yes,yes
680,Charlie Haeger,Los Angeles Dodgers,2010,yes,yes
684,Tim Stauffer,San Diego Padres,2010,yes,no
685,Brian Stokes,Los Angeles Angels,2010,yes,no
686,Kevin Correia,San Diego Padres,2010,yes,no
687,Franklin Morales,Colorado Rockies,2010,yes,no
688,Matt Harrison,Texas Rangers,2010,yes,yes
689,Alfredo Aceves,New York Yankees,2010,yes,no
692,Pedro Strop,Texas Rangers,2010,yes,no
695,Doug Davis,Milwaukee Brewers,2010,yes,no
698,Josh Beckett,Boston Red Sox,2010,yes,no
700,Jonathon Niese,New York Mets,2010,yes,yes
702,Jack Taschner,Pittsburgh Pirates,2010,yes,no
703,John Maine,New York Mets,2010,yes,yes
704,Scott Olsen,Washington Nationals,2010,yes,yes
705,Brad Penny,St. Louis Cardinals,2010,yes,no
706,Homer Bailey,Cincinnati Reds,2010,yes,no
707,George Sherrill,Los Angeles Dodgers,2010,yes,no
709,Alfredo Simon,Baltimore Orioles,2010,yes,yes
710,Renyel Pinto,Florida Marlins,2010,yes,yes
711,Kyle Lohse,St. Louis Cardinals,2010,yes,yes
713,Jim Johnson,Baltimore Orioles,2010,yes,yes
714,Bud Norris,Houston Astros,2010,yes,no
715,John Grabow,Chicago Cubs,2010,yes,no
717,Chris Sampson,Houston Astros,2010,yes,yes
718,Mike Lincoln,Cincinnati Reds,2010,yes,yes
721,Brett Anderson,Oakland Athletics,2010,yes,yes
722,Takashi Saito,Atlanta Braves,2010,yes,no
723,Kanekoa Texeira,Kansas City Royals,2010,yes,no
724,Dana Eveland,Pittsburgh Pirates,2010,yes,no
726,Oliver Perez,New York Mets,2010,yes,yes
727,Doug Fister,Seattle Mariners,2010,yes,no
732,Todd Coffey,Milwaukee Brewers,2010,yes,no
734,Ryan Perry,Detroit Tigers,2010,yes,no
735,Todd Wellemeyer,San Francisco Giants,2010,yes,yes
736,Jonathan Papelbon,Boston Red Sox,2010,yes,no
737,Rich Harden,Texas Rangers,2010,yes,yes
739,Chad Billingsley,Los Angeles Dodgers,2010,yes,no
740,Jason Bulger,Los Angeles Angels,2010,yes,no
742,Sergio Mitre,New York Yankees,2010,yes,yes
745,Matt Daley,Colorado Rockies,2010,yes,yes
746,Luke Hochevar,Kansas City Royals,2010,yes,no
748,Carlos Monasterios,Los Angeles Dodgers,2010,yes,no
751,Joe Smith,Cleveland Indians,2010,yes,yes
754,Zach Duke,Pittsburgh Pirates,2010,yes,no
755,Dallas Braden,Oakland Athletics,2010,yes,yes
757,Felipe Paulino,Houston Astros,2010,yes,yes
758,Chad Durbin,Philadelphia Phillies,2010,yes,yes
760,Shawn Kelley,Seattle Mariners,2010,yes,yes
762,Adam Ottavino,St. Louis Cardinals,2010,yes,no
768,Jeff Fulchino,Houston Astros,2010,yes,no
769,Carlos Zambrano,Chicago Cubs,2010,yes,yes
770,Joel Zumaya,Detroit Tigers,2010,yes,yes
771,Tyler Walker,Washington Nationals,2010,yes,no
774,Manny Delcarmen,Boston Red Sox,2010,yes,yes
775,Shaun Marcum,Toronto Blue Jays,2010,yes,yes
777,Bobby Jenks,Chicago White Sox,2010,yes,no
779,Clay Buchholz,Boston Red Sox,2010,yes,no
780,Kevin Millwood,Baltimore Orioles,2010,yes,no
782,Aaron Harang,Cincinnati Reds,2010,yes,yes
783,Yovani Gallardo,Milwaukee Brewers,2010,yes,no
784,Jake Peavy,Chicago White Sox,2010,yes,no
786,Brian Schlitter,Chicago Cubs,2010,yes,no
789,Dan Runzler,San Francisco Giants,2010,yes,no
791,Eric O'Flaherty,Atlanta Braves,2010,yes,no
792,Cliff Lee,Texas Rangers,2010,yes,yes
795,Mat Latos,San Diego Padres,2010,yes,no
797,Mike Adams,San Diego Padres,2010,yes,yes
799,Damaso Marte,New York Yankees,2010,yes,yes
802,Andy Pettitte,New York Yankees,2010,yes,no
804,Casey Fien,Detroit Tigers,2010,yes,no
805,Dustin Nippert,Texas Rangers,2010,yes,yes
810,Nelson Figueroa,Houston Astros,2010,yes,no
811,Luis Atilano,Washington Nationals,2010,yes,no
814,Jeremy Affeldt,San Francisco Giants,2010,yes,no
816,Ben Sheets,Oakland Athletics,2010,yes,no
817,Jhan Marinez,Florida Marlins,2010,yes,no
818,J.D. Martin,Washington Nationals,2010,yes,no
819,Jamie Moyer,Philadelphia Phillies,2010,yes,yes
820,Steven Jackson,Pittsburgh Pirates,2010,yes,no
821,Joe Saunders,Arizona Diamondbacks,2010,yes,yes
823,Ryan Rowland-Smith,Seattle Mariners,2010,yes,yes
825,Stephen Strasburg,Washington Nationals,2010,yes,no
826,Brandon McCarthy,Texas Rangers,2010,yes,yes
828,Joel Pineiro,Los Angeles Angels,2010,yes,no
830,Andrew Bailey,Oakland Athletics,2010,yes,no
831,Mitch Talbot,Cleveland Indians,2010,yes,no
832,Grant Balfour,Tampa Bay Rays,2010,yes,yes
834,Kyle Farnsworth,Atlanta Braves,2010,yes,yes
835,Will Ohman,Florida Marlins,2010,yes,yes
836,Robinson Tejeda,Kansas City Royals,2010,yes,yes
838,Andy Sonnanstine,Tampa Bay Rays,2010,yes,no
839,Carlos Silva,Chicago Cubs,2010,yes,yes
840,James McDonald,Pittsburgh Pirates,2010,yes,no
842,Erick Threets,Chicago White Sox,2010,yes,no
843,Juan Gutierrez,Arizona Diamondbacks,2010,yes,no
845,Jason Motte,St. Louis Cardinals,2010,yes,no
846,Rich Thompson,Los Angeles Angels,2010,yes,no
847,Kris Medlen,Atlanta Braves,2010,yes,no
848,Aaron Cook,Colorado Rockies,2010,yes,yes
849,David Hernandez,Baltimore Orioles,2010,yes,no
851,Hideki Okajima,Boston Red Sox,2010,yes,no
854,Russ Springer,Cincinnati Reds,2010,yes,no
856,Jeff Niemann,Tampa Bay Rays,2010,yes,no
858,Wade Davis,Tampa Bay Rays,2010,yes,no
860,Jeff Suppan,St. Louis Cardinals,2010,yes,yes
863,Francisco Rodriguez,New York Mets,2010,yes,no
870,David Purcey,Toronto Blue Jays,2010,yes,no
871,Jason Berken,Baltimore Orioles,2010,yes,no
875,Chris Ray,San Francisco Giants,2010,yes,yes
877,Brian Bannister,Kansas City Royals,2010,yes,no
878,Sean West,Florida Marlins,2010,yes,no
879,Matt Lindstrom,Houston Astros,2010,yes,yes
882,Travis Schlichting,Los Angeles Dodgers,2010,yes,no
884,Kevin Slowey,Minnesota Twins,2010,yes,yes
885,Ron Mahay,Minnesota Twins,2010,yes,no
888,Guillermo Mota,San Francisco Giants,2010,yes,yes
889,Scott Feldman,Texas Rangers,2010,yes,no
892,Dennys Reyes,St. Louis Cardinals,2010,yes,no
895,J.J. Putz,Chicago White Sox,2010,yes,yes
896,Matt Thornton,Chicago White Sox,2010,yes,no
899,Randy Flores,Minnesota Twins,2010,yes,yes
901,Danys Baez,Philadelphia Phillies,2010,yes,no
902,Mike Leake,Cincinnati Reds,2010,yes,no
903,Manny Corpas,Colorado Rockies,2010,yes,yes
904,Brian Fuentes,Minnesota Twins,2010,yes,yes
908,Frank Francisco,Texas Rangers,2010,yes,yes
909,Ricky Nolasco,Florida Marlins,2010,yes,no
929,Omar Beltre,Texas Rangers,2010,yes,no
936,Scott Mathieson,Philadelphia Phillies,2010,yes,no
938,Matt Fox,Boston Red Sox,2010,yes,no
942,Jake McGee,Tampa Bay Rays,2010,yes,no
943,Rommie Lewis,Toronto Blue Jays,2010,yes,no
949,Doug Mathis,Texas Rangers,2010,yes,no
950,Mark Lowe,Texas Rangers,2010,yes,yes
951,Guillermo Moscoso,Texas Rangers,2010,yes,no
957,Billy Wagner,Atlanta Braves,2010,yes,yes
958,Tobi Stoner,New York Mets,2010,yes,no
959,Clayton Mortensen,Oakland Athletics,2010,yes,yes
960,Kevin Hart,Pittsburgh Pirates,2010,yes,no
961,Donnie Veal,Pittsburgh Pirates,2010,yes,yes
962,Radhames Liz,San Diego Padres,2010,yes,no
963,Luis Perdomo,San Diego Padres,2010,yes,yes
964,Lance Cormier,Tampa Bay Rays,2010,yes,no
965,Jeremy Accardo,Toronto Blue Jays,2010,yes,no
966,Jo-Jo Reyes,Toronto Blue Jays,2010,yes,yes
967,Matt Chico,Washington Nationals,2010,yes,no
968,Shairon Martis,Washington Nationals,2010,yes,no
970,Brian Anderson,Kansas City Royals,2010,yes,no
971,Henry Barrera,Kansas City Royals,2010,yes,yes
972,Gaby Hernandez,Kansas City Royals,2010,yes,yes
973,Victor Marte,Kansas City Royals,2010,yes,no
974,Brent Leach,Los Angeles Dodgers,2010,yes,no
975,Mitch Stetter,Milwaukee Brewers,2010,yes,no
976,Rob Delaney,Minnesota Twins,2010,yes,no
978,Jeff Manship,Minnesota Twins,2010,yes,no
979,Glen Perkins,Minnesota Twins,2010,yes,yes
981,Rafael Rodriguez,Arizona Diamondbacks,2010,yes,no
982,Daniel Stange,Arizona Diamondbacks,2010,yes,no
986,Scott Proctor,Atlanta Braves,2010,yes,yes
988,Jared Burton,Cincinnati Reds,2010,yes,yes
990,Sam LeCure,Cincinnati Reds,2010,yes,no
992,Matt Maloney,Cincinnati Reds,2010,yes,no
993,Roque Mercedes,Arizona Diamondbacks,2010,yes,no
994,Clay Rapada,Texas Rangers,2010,yes,no
995,Kyle Kendrick,Philadelphia Phillies,2010,yes,no
996,Jonathan Albaladejo,New York Yankees,2010,yes,no
997,Chad Gaudin,New York Yankees,2010,yes,yes
998,Ivan Nova,New York Yankees,2010,yes,no
999,Javier Vazquez,New York Yankees,2010,yes,no
1001,Drew Carpenter,Philadelphia Phillies,2010,yes,no
1002,Sergio Escalona,Philadelphia Phillies,2010,yes,no
1003,Yohan Flande,Philadelphia Phillies,2010,yes,no
1004,David Herndon,Philadelphia Phillies,2010,yes,no
1005,Jesus Sanchez,Philadelphia Phillies,2010,yes,no
1009,Jose Arredondo,Cincinnati Reds,2010,yes,yes
1030,Brian Sweeney,Arizona Diamondbacks,2010,yes,no
1032,Barry Zito,San Francisco Giants,2010,yes,no
1033,Waldis Joaquin,San Francisco Giants,2010,yes,no
1047,Alfredo Simon,Baltimore Orioles,2011,yes,yes
1048,Ronald Belisario,Los Angeles Dodgers,2011,yes,yes
1049,Dustin McGowan,Toronto Blue Jays,2011,yes,yes
1050,Brian Schlitter,Chicago Cubs,2011,yes,yes
1051,Stephen Strasburg,Washington Nationals,2011,yes,yes
1052,Adam Wainwright,St. Louis Cardinals,2011,yes,no
1053,Zack Greinke,Milwaukee Brewers,2011,yes,no
1054,Manny Parra,Milwaukee Brewers,2011,yes,no
1055,LaTroy Hawkins,Milwaukee Brewers,2011,yes,yes
1056,Kris Medlen,Atlanta Braves,2011,yes,yes
1057,Chien-Ming Wang,Washington Nationals,2011,yes,yes
1058,Henry Alberto Rodriguez,Washington Nationals,2011,yes,no
1059,Jamey Wright,Seattle Mariners,2011,yes,no
1060,Justin Duchscherer,Baltimore Orioles,2011,yes,yes
1061,Mat Latos,San Diego Padres,2011,yes,yes
1062,Joe Thatcher,San Diego Padres,2011,yes,yes
1063,Mauricio Robles,Seattle Mariners,2011,yes,no
1064,Scott Downs,Los Angeles Angels,2011,yes,yes
1065,Joel Pineiro,Los Angeles Angels,2011,yes,yes
1066,Jesse Carlson,Toronto Blue Jays,2011,yes,no
1067,Joe Smith,Cleveland Indians,2011,yes,yes
1068,Joel Zumaya,Detroit Tigers,2011,yes,yes
1069,Damaso Marte,New York Yankees,2011,yes,yes
1070,Jose Arredondo,Cincinnati Reds,2011,yes,yes
