"Name","Team","Age","IP","Balls","Strikes","Pitches","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Michael Cuddyer","Twins","32","1.0","7","9","16","81.3 %","86.9","6.3 %","76.0","6.3 %","85.0","","","6.3 %","82.0","","","","","","1534"
"Wilson Valdez","Phillies","33","1.0","5","5","10","90.0 %","87.0","","","","","10.0 %","75.0","","","","","","","","1863"
"Don Kelly","Tigers","31","0.1","2","3","5","80.0 %","84.5","","","","","20.0 %","71.0","","","","","","","","2216"
"Andrew Brackman","Yankees","25","2.1","24","31","55","16.4 %","91.6","5.5 %","85.7","58.2 %","91.5","20.0 %","76.2","","","","","","","","2365"
"Bryan Petersen","Marlins","25","1.0","8","10","18","83.3 %","89.7","","","5.6 %","89.0","","","11.1 %","84.0","","","","","","2567"
"Joe Savery","Phillies","25","2.2","11","18","29","58.6 %","90.9","41.4 %","81.4","","","","","","","","","","","","2835"
"Anthony Slama","Twins","27","2.1","25","28","53","71.7 %","89.8","28.3 %","76.2","","","","","","","","","","","","3064"
"Hector Santiago","White Sox","23","5.1","27","38","65","65.6 %","93.8","3.3 %","83.0","","","","","","","31.2 %","76.1","","","6.2 %","4026"
"Rafael Dolis","Cubs","23","1.1","10","10","20","85.0 %","95.4","5.0 %","82.0","","","10.0 %","80.5","","","","","","","","4185"
"Scott Richmond","Blue Jays","31","0.1","3","3","6","50.0 %","92.0","16.7 %","85.0","","","33.3 %","79.0","","","","","","","","4307"
"Mike McCoy","Blue Jays","30","1.0","3","9","12","66.7 %","76.1","","","","","33.3 %","62.0","","","","","","","","4583"
"Scott Mathieson","Phillies","27","5.0","47","65","112","69.1 %","93.2","11.8 %","81.1","","","8.2 %","76.6","1.8 %","81.5","9.1 %","83.4","","","1.8 %","4771"
"Rich Hill","Red Sox","31","8.0","45","85","130","24.6 %","90.7","","","","","75.4 %","75.2","","","","","","","","4806"
"Jarrod Parker","Diamondbacks","22","5.2","23","50","73","72.6 %","92.7","11.0 %","80.5","","","1.4 %","69.0","15.1 %","80.9","","","","","","4913"
"Mitch Maier","Royals","29","1.0","5","11","16","81.3 %","76.8","","","","","18.8 %","69.7","","","","","","","","5588"
"Mike Ekstrom","Rays","27","1.0","4","8","12","66.7 %","91.1","33.3 %","81.0","","","","","","","","","","","","7488"
"Mike Fiers","Brewers","26","2.0","19","23","42","66.7 %","88.5","","","4.8 %","84.5","7.1 %","72.7","21.4 %","81.2","","","","","","7754"
"Shawn Kelley","Mariners","27","12.2","58","108","166","59.9 %","90.9","40.1 %","82.0","","","","","","","","","","","2.4 %","7773"
"Eric Hacker","Twins","28","5.1","47","63","110","65.5 %","88.5","13.6 %","83.5","","","17.3 %","73.8","3.6 %","82.0","","","","","","8743"
"Chad Beck","Blue Jays","26","2.1","5","20","25","76.0 %","95.1","16.0 %","86.8","","","","","","","8.0 %","87.5","","","","9258"
"Kris Medlen","Braves","25","2.1","5","18","23","60.9 %","91.1","","","","","17.4 %","79.3","21.7 %","81.2","","","","","","9417"
