"Name","Team","Age","IP","Balls","Strikes","Pitches","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Steve Garrison","Yankees","24","0.2","3","6","9","44.4 %","88.3","33.3 %","80.3","","","11.1 %","75.0","11.1 %","80.0","","","","","","9869"
"Brad Peacock","Nationals","23","12.0","73","128","201","64.7 %","92.7","","","","","12.9 %","74.7","22.4 %","82.5","","","","","","5401"
"Craig Stammen","Nationals","27","10.1","55","94","149","61.7 %","90.5","20.8 %","84.6","","","16.8 %","78.0","0.7 %","83.0","","","","","","7274"
"Jason Bulger","Angels","32","9.1","74","100","174","27.5 %","91.7","","","","","58.1 %","79.2","14.4 %","85.2","","","","","4.0 %","3915"
"Eric O'Flaherty","Braves","26","73.2","418","726","1144","68.7 %","91.9","27.6 %","85.2","","","","","3.8 %","85.7","","","","","2.6 %","5746"
"Bobby Cramer","Athletics","31","8.1","45","72","117","63.3 %","88.7","","","2.6 %","86.3","30.8 %","77.8","3.4 %","80.0","","","","","","2744"
"David Robertson","Yankees","26","66.2","444","768","1212","77.3 %","93.1","","","","","20.6 %","80.8","2.1 %","86.9","","","","","1.7 %","8241"
"Zach Phillips","Orioles","24","8.0","46","86","132","57.6 %","90.3","","","","","31.8 %","79.0","10.6 %","81.6","","","","","","99"
"Joel Carreno","Blue Jays","24","15.2","85","136","221","41.6 %","91.5","52.9 %","80.4","","","","","5.4 %","85.4","","","","","","2746"
"Luis Mendoza","Royals","27","14.2","79","123","202","80.6 %","90.8","","","","","11.4 %","81.1","8.0 %","81.6","","","","","0.5 %","3126"
"Scott Downs","Angels","35","53.2","309","491","800","79.1 %","88.3","","","","","20.9 %","74.7","","","","","","","1.5 %","773"
"Brad Lidge","Phillies","34","19.1","142","197","339","28.1 %","89.0","72.0 %","80.9","","","","","","","","","","","3.2 %","563"
"Mike Adams","- - -","32","73.2","331","730","1061","33.2 %","92.7","","","60.1 %","87.9","5.4 %","80.0","1.2 %","84.2","","","","","1.0 %","1937"
"Stephen Strasburg","Nationals","22","24.0","104","224","328","73.4 %","95.8","","","","","13.5 %","79.5","13.2 %","89.1","","","","","0.3 %","10131"
"Sergio Romo","Giants","28","48.0","189","470","659","44.0 %","89.4","54.1 %","79.0","","","","","2.0 %","83.2","","","","","0.9 %","9817"
"Wesley Wright","Astros","26","12.0","76","102","178","74.7 %","90.8","16.3 %","84.6","","","9.0 %","78.3","","","","","","","","5960"
"Josh Johnson","Marlins","27","60.1","350","590","940","60.4 %","93.8","24.6 %","86.1","","","7.8 %","77.7","7.2 %","86.5","","","","","0.9 %","4567"
"Anthony Bass","Padres","23","48.1","283","446","729","57.3 %","93.2","34.9 %","84.5","","","","","7.7 %","83.2","","","","","0.7 %","7982"
"Andrew Cashner","Cubs","24","10.2","53","94","147","70.8 %","95.4","19.1 %","83.6","","","","","10.2 %","86.0","","","","","","8782"
"Santiago Casilla","Giants","30","51.2","337","515","852","68.2 %","93.6","18.8 %","86.3","","","12.9 %","79.3","0.1 %","88.0","","","","","0.7 %","2873"
"Edgmer Escalona","Rockies","24","25.2","136","254","390","61.7 %","92.5","31.8 %","84.7","","","","","6.6 %","85.2","","","","","2.3 %","8574"
"Greg Holland","Royals","25","60.0","333","613","946","49.6 %","94.9","39.5 %","86.7","","","6.2 %","77.9","","","4.7 %","86.0","","","1.2 %","7196"
"Eduardo Sanchez","Cardinals","22","30.0","185","285","470","66.7 %","93.5","","","","","32.6 %","78.8","0.6 %","82.0","","","","","0.2 %","2966"
"Randy Choate","Marlins","35","24.2","179","244","423","61.7 %","86.6","37.8 %","76.2","","","","","0.5 %","82.5","","","","","4.3 %","813"
"Tyler Clippard","Nationals","26","88.1","472","885","1357","58.1 %","92.7","8.2 %","86.5","","","6.3 %","77.6","27.5 %","80.9","","","","","0.7 %","5640"
"Joel Hanrahan","Pirates","29","68.2","375","653","1028","83.0 %","97.1","17.0 %","85.7","","","","","","","","","","","0.5 %","2186"
"Jonny Venters","Braves","26","88.0","525","798","1323","79.7 %","95.0","20.2 %","86.2","","","","","0.2 %","87.5","","","","","2.2 %","7175"
"Al Alburquerque","Tigers","25","43.1","320","444","764","42.8 %","95.4","57.2 %","85.8","","","","","","","","","","","2.4 %","6324"
"Chris Young","Mets","32","24.0","155","241","396","68.6 %","84.7","17.9 %","75.7","","","1.5 %","66.7","12.0 %","78.8","","","","","1.0 %","3196"
"Mariano Rivera","Yankees","41","61.1","274","641","915","12.7 %","92.3","","","87.3 %","91.6","","","","","","","","","1.1 %","844"
"Cole Kimball","Nationals","25","14.0","117","152","269","64.7 %","93.4","","","","","29.0 %","80.0","","","6.3 %","82.4","","","","9480"
"John Axford","Brewers","28","73.2","448","792","1240","69.0 %","95.6","9.3 %","85.4","","","21.7 %","81.1","","","","","","","0.3 %","9059"
"Joe Smith","Indians","27","67.0","356","648","1004","69.5 %","90.2","30.5 %","81.3","","","","","","","","","","","0.6 %","3281"
"Takashi Saito","Brewers","41","26.2","167","268","435","59.0 %","90.7","16.2 %","81.1","","","24.1 %","76.7","","","0.7 %","85.7","","","1.8 %","6021"
"Cory Wade","Yankees","28","39.2","204","410","614","50.7 %","88.8","","","","","23.4 %","74.1","26.0 %","81.2","","","","","0.3 %","7570"
"Pedro Strop","- - -","26","22.0","141","233","374","53.2 %","94.3","39.8 %","81.9","","","","","","","7.0 %","87.2","","","","4070"
"Mike MacDougal","Dodgers","34","57.0","380","553","933","71.0 %","95.5","28.6 %","85.6","","","0.2 %","82.0","0.2 %","90.0","","","","","1.0 %","612"
"Garrett Olson","Pirates","27","4.1","29","47","76","68.6 %","89.6","","","","","22.9 %","78.7","8.6 %","82.0","","","","","7.9 %","9889"
"Luis Ayala","Yankees","33","56.0","305","559","864","62.5 %","91.0","8.1 %","81.9","16.6 %","85.6","0.5 %","74.5","12.3 %","85.2","","","","","1.5 %","1650"
"Craig Kimbrel","Braves","23","77.0","471","843","1314","69.5 %","96.2","30.5 %","86.8","","","","","","","","","","","0.5 %","6655"
"Brad Ziegler","- - -","31","58.1","347","541","888","74.5 %","85.4","21.0 %","73.3","","","","","4.5 %","76.9","","","","","1.4 %","7293"
"J.J. Putz","Diamondbacks","34","58.0","265","578","843","73.3 %","93.0","7.4 %","86.8","","","","","","","19.3 %","85.4","","","","1795"
"Kyle Farnsworth","Rays","35","57.2","291","570","861","56.1 %","94.7","20.5 %","86.4","20.7 %","89.9","","","2.7 %","89.3","","","","","0.5 %","278"
"Jose Valverde","Tigers","33","72.1","461","748","1209","79.9 %","93.9","","","","","","","","","20.1 %","85.7","","","1.3 %","1726"
"Justin De Fratus","Phillies","23","4.0","26","32","58","62.3 %","92.1","37.7 %","83.2","","","","","","","","","","","8.6 %","4955"
"Jeff Marquez","Yankees","26","4.0","22","40","62","51.6 %","89.1","35.5 %","83.5","","","8.1 %","73.6","4.8 %","81.7","","","","","","7456"
"Jason Motte","Cardinals","29","68.0","365","753","1118","77.7 %","96.0","","","19.6 %","90.7","1.9 %","84.0","0.8 %","83.5","","","","","0.9 %","5861"
"Sean Marshall","Cubs","28","75.2","394","794","1188","25.0 %","91.3","15.4 %","84.5","19.3 %","86.8","40.3 %","77.4","","","","","","","1.9 %","5905"
"Casey Janssen","Blue Jays","29","55.2","311","566","877","43.3 %","92.1","4.7 %","85.5","37.5 %","90.6","13.8 %","76.2","0.7 %","84.3","","","","","0.9 %","7355"
"Clayton Kershaw","Dodgers","23","233.1","1205","2264","3469","65.3 %","93.4","25.5 %","83.8","","","5.4 %","73.9","3.8 %","82.8","","","","","0.5 %","2036"
"Fernando Salas","Cardinals","26","75.0","430","745","1175","59.9 %","91.2","16.4 %","81.1","","","","","23.8 %","85.0","","","","","1.1 %","4971"
"Darren Oliver","Rangers","40","51.0","293","540","833","69.4 %","88.6","30.3 %","77.2","","","","","0.4 %","83.0","","","","","0.5 %","206"
"Johnny Cueto","Reds","25","156.0","900","1494","2394","55.6 %","93.4","18.0 %","84.2","7.9 %","90.1","9.4 %","79.5","9.1 %","83.6","","","","","0.4 %","6893"
"Alberto Castillo","Diamondbacks","35","11.2","76","101","177","49.4 %","88.2","41.5 %","79.3","","","","","9.1 %","83.1","","","","","0.6 %","3316"
"Javy Guerra","Dodgers","25","46.2","321","494","815","61.5 %","94.0","30.7 %","88.7","","","5.3 %","77.6","2.5 %","85.1","","","","","0.5 %","7407"
"Vinnie Pestano","Indians","26","62.0","352","641","993","73.1 %","92.7","19.9 %","80.6","7.0 %","92.0","","","","","","","","","1.5 %","4782"
"Roy Halladay","Phillies","34","233.2","1086","2382","3468","22.6 %","92.0","","","44.8 %","90.8","17.1 %","77.0","","","15.5 %","83.2","","","0.4 %","1303"
"Koji Uehara","- - -","36","65.0","262","675","937","64.9 %","88.8","","","0.4 %","84.3","","","12.7 %","81.4","22.0 %","81.5","","","0.5 %","9227"
"Ryan Madson","Phillies","30","60.2","341","625","966","56.6 %","94.0","","","8.4 %","91.8","","","35.0 %","83.9","","","","","2.7 %","1852"
"Cliff Lee","Phillies","32","232.2","1043","2360","3403","53.5 %","91.5","0.3 %","79.6","22.7 %","86.4","10.7 %","75.1","12.8 %","84.4","","","","","0.4 %","1636"
"Justin Verlander","Tigers","28","251.0","1350","2591","3941","57.0 %","95.0","8.4 %","85.9","","","18.3 %","79.3","16.3 %","86.4","","","","","0.0 %","8700"
"Jered Weaver","Angels","28","235.2","1345","2401","3746","56.8 %","89.1","17.7 %","79.7","","","10.6 %","71.6","14.8 %","78.9","","","","","0.1 %","4235"
"LaTroy Hawkins","Brewers","38","48.1","242","493","735","64.2 %","92.6","22.0 %","87.3","","","12.7 %","77.7","1.1 %","86.3","","","","","0.5 %","729"
"Scott Elbert","Dodgers","25","33.1","208","342","550","58.0 %","91.7","42.0 %","87.4","","","","","","","","","","","3.1 %","7489"
"Heath Bell","Padres","33","62.2","406","693","1099","70.5 %","94.0","","","","","29.1 %","82.1","0.5 %","84.6","","","","","1.1 %","2080"
"Francisco Cordero","Reds","36","69.2","416","664","1080","41.2 %","93.0","30.1 %","87.2","","","9.8 %","78.9","18.8 %","85.7","","","","","0.1 %","1243"
"Sandy Rosario","Marlins","25","3.2","25","40","65","63.1 %","95.0","13.9 %","84.1","","","","","23.1 %","86.3","","","","","","1525"
"Luis Marte","Tigers","24","3.2","21","36","57","39.3 %","90.3","42.9 %","81.5","","","","","17.9 %","82.2","","","","","1.8 %","8651"
"Grant Balfour","Athletics","33","62.0","387","635","1022","76.5 %","92.8","16.6 %","86.3","","","6.8 %","81.4","0.1 %","87.0","","","","","0.5 %","718"
"Jason Grilli","Pirates","34","32.2","193","348","541","61.5 %","92.4","37.4 %","81.3","","","","","1.2 %","83.5","","","","","3.1 %","521"
"Glen Perkins","Twins","28","61.2","297","611","908","67.9 %","94.0","30.7 %","83.6","","","","","1.4 %","84.0","","","","","2.2 %","8041"
"Bryan Shaw","Diamondbacks","23","28.1","174","317","491","6.4 %","91.3","7.2 %","81.6","80.1 %","93.1","6.4 %","79.1","","","","","","","0.8 %","8110"
"Jim Miller","Rockies","29","7.0","42","74","116","59.5 %","92.8","23.3 %","84.6","","","17.2 %","73.2","","","","","","","","7458"
"Steve Delabar","Mariners","27","7.0","39","71","110","77.1 %","94.0","","","","","","","","","22.9 %","86.3","","","4.6 %","11827"
"Alfredo Aceves","Red Sox","28","114.0","644","1113","1757","49.0 %","92.6","","","20.6 %","90.3","16.8 %","80.3","13.2 %","85.3","0.5 %","87.9","","","0.3 %","5164"
"Jesse Crain","White Sox","29","65.1","435","711","1146","41.2 %","94.5","48.1 %","85.5","","","2.4 %","73.3","8.3 %","84.2","","","","","1.8 %","4817"
"Ramon Ramirez","Giants","29","68.2","407","707","1114","38.6 %","92.4","39.8 %","87.1","","","","","21.6 %","87.9","","","","","1.5 %","7986"
"Anthony Varvaro","Braves","26","24.0","145","243","388","69.2 %","92.7","","","","","23.6 %","79.5","7.2 %","86.5","","","","","2.8 %","2385"
"Jeremy Affeldt","Giants","32","61.2","379","597","976","63.1 %","93.1","","","","","27.0 %","77.0","","","10.0 %","88.5","","","1.5 %","583"
"Mike McClendon","Brewers","26","13.2","74","145","219","50.7 %","88.2","40.6 %","77.8","","","","","8.7 %","80.1","","","","","","9587"
"Steve Cishek","Marlins","25","54.2","350","550","900","71.2 %","92.7","23.4 %","83.3","","","","","5.4 %","85.1","","","","","3.4 %","6483"
"Francisco Rodriguez","- - -","29","71.2","416","756","1172","60.3 %","90.3","","","","","21.1 %","76.7","18.7 %","82.5","","","","","1.2 %","1642"
"Antonio Bastardo","Phillies","25","58.0","337","627","964","61.3 %","92.5","34.2 %","83.5","","","","","4.5 %","85.6","","","","","0.6 %","8844"
"Jim Johnson","Orioles","28","91.0","441","821","1262","73.1 %","95.1","","","","","10.2 %","80.0","16.6 %","87.9","","","","","1.0 %","3656"
"Juan Abreu","Astros","26","6.2","50","94","144","79.9 %","95.7","","","","","16.0 %","81.0","4.2 %","89.0","","","","","","6306"
"Mike O'Connor","Mets","30","6.2","48","63","111","72.1 %","88.5","26.1 %","81.6","","","1.8 %","76.5","","","","","","","","6457"
"Ryan Vogelsong","Giants","33","179.2","1071","1866","2937","55.9 %","91.4","","","14.7 %","87.6","19.7 %","76.7","9.7 %","83.7","","","","","0.7 %","1011"
"Ernesto Frieri","Padres","25","63.0","436","697","1133","76.4 %","92.0","1.9 %","81.1","","","21.0 %","76.4","0.6 %","83.2","","","","","1.9 %","5178"
"Javier Lopez","Giants","33","53.0","299","514","813","60.1 %","87.9","9.0 %","75.4","25.7 %","82.1","","","5.2 %","80.9","","","","","3.0 %","1663"
"Bobby Cassevah","Angels","25","39.2","248","361","609","77.5 %","92.5","15.6 %","87.0","","","","","","","7.0 %","87.2","","","1.0 %","6950"
"Josh Lindblom","Dodgers","24","29.2","178","287","465","58.5 %","91.7","30.0 %","85.6","","","5.1 %","72.3","6.4 %","84.3","","","","","2.6 %","7882"
"Josh Spence","Padres","23","29.2","195","282","477","31.7 %","83.8","51.2 %","77.9","","","","","17.1 %","76.5","","","","","4.2 %","11260"
"Tim Lincecum","Giants","27","217.0","1373","2233","3606","52.9 %","92.3","15.6 %","85.9","","","7.4 %","78.7","24.1 %","83.8","","","","","1.1 %","5705"
"Neftali Feliz","Rangers","23","62.1","413","650","1063","79.8 %","96.3","4.8 %","85.6","","","11.1 %","78.7","4.3 %","88.6","","","","","0.4 %","18"
"Drew Storen","Nationals","23","75.1","373","726","1099","64.9 %","95.0","33.6 %","84.0","","","","","1.5 %","88.2","","","","","1.4 %","6983"
"Luke Gregerson","Padres","27","55.2","324","552","876","37.7 %","89.7","57.5 %","85.0","","","","","4.8 %","77.5","","","","","1.4 %","4090"
"Tyson Ross","Athletics","24","36.0","225","317","542","67.2 %","92.1","20.5 %","85.3","","","","","12.3 %","85.8","","","","","0.9 %","7872"
"Aaron Crow","Royals","24","62.0","415","605","1020","58.6 %","95.0","34.7 %","85.5","","","6.5 %","80.3","0.2 %","86.5","","","","","0.5 %","10149"
"Frankie de la Cruz","Brewers","27","13.0","95","139","234","64.5 %","91.6","","","","","6.8 %","78.8","28.6 %","84.7","","","","","","3920"
"Mark Melancon","Astros","26","74.1","407","711","1118","51.8 %","92.8","","","17.6 %","92.1","27.5 %","82.7","3.1 %","84.5","","","","","2.2 %","4264"
"Brandon League","Mariners","28","61.1","312","592","904","67.1 %","96.5","4.7 %","87.2","","","","","","","28.2 %","86.7","","","0.8 %","3731"
"Wilton Lopez","Astros","27","71.0","379","723","1102","71.8 %","91.7","7.5 %","83.0","","","","","20.7 %","84.5","","","","","1.3 %","4227"
"Chris Sale","White Sox","22","71.0","401","704","1105","51.9 %","95.3","36.4 %","82.1","","","","","11.7 %","86.8","","","","","1.2 %","10603"
"Cole Hamels","Phillies","27","216.0","1074","2058","3132","45.0 %","91.7","","","20.7 %","88.7","10.1 %","76.3","24.3 %","83.4","","","","","0.5 %","4972"
"Chris Carpenter","Cubs","25","9.2","77","117","194","71.3 %","97.1","28.7 %","88.7","","","","","","","","","","","3.1 %","8556"
"Ryan Mattheus","Nationals","27","32.0","207","282","489","68.9 %","93.8","23.0 %","83.2","","","","","","","8.1 %","84.5","","","1.2 %","7169"
"James Shields","Rays","29","249.1","1254","2322","3576","36.4 %","91.0","","","15.4 %","86.7","21.0 %","77.7","27.2 %","83.9","","","","","0.1 %","7059"
"Joba Chamberlain","Yankees","25","28.2","157","272","429","57.5 %","94.3","28.7 %","86.3","","","12.6 %","80.3","1.2 %","84.4","","","","","1.9 %","2692"
"Randall Delgado","Braves","21","35.0","250","372","622","66.3 %","92.4","","","","","11.3 %","79.2","22.3 %","82.8","","","","","0.6 %","5985"
"Doug Fister","- - -","27","216.1","1037","2158","3195","57.0 %","90.0","17.2 %","86.6","","","15.1 %","75.2","10.7 %","82.8","","","","","0.4 %","9425"
"Kanekoa Texeira","Royals","25","6.1","50","69","119","75.4 %","90.1","12.3 %","79.9","","","","","12.3 %","84.6","","","","","4.2 %","334"
"Kenley Jansen","Dodgers","23","53.2","352","630","982","86.8 %","93.3","11.6 %","83.4","","","0.9 %","80.3","0.6 %","86.8","","","","","0.3 %","3096"
"Jerry Blevins","Athletics","27","28.1","156","277","433","60.7 %","89.0","","","11.4 %","83.2","16.5 %","71.1","11.4 %","81.5","","","","","0.7 %","7841"
"Louis Coleman","Royals","25","59.2","378","625","1003","50.6 %","89.6","46.3 %","79.2","","","","","3.2 %","79.1","","","","","2.6 %","9720"
"Rex Brothers","Rockies","23","40.2","268","456","724","72.6 %","95.3","27.0 %","86.2","","","","","0.4 %","87.0","","","","","1.2 %","9794"
"Ian Kennedy","Diamondbacks","26","222.0","1145","2279","3424","63.5 %","90.3","2.8 %","84.0","7.7 %","86.6","10.3 %","77.5","15.8 %","81.1","","","","","0.1 %","6986"
"Chris Leroux","Pirates","27","25.0","157","290","447","63.6 %","93.6","33.9 %","83.1","","","","","2.5 %","86.4","","","","","1.8 %","7645"
"Matt Cain","Giants","26","221.2","1238","2250","3488","54.7 %","91.2","15.8 %","85.9","","","12.8 %","77.9","16.7 %","85.5","","","","","0.7 %","4732"
"Rafael Betancourt","Rockies","36","62.1","278","685","963","77.3 %","92.3","16.6 %","81.2","","","","","6.2 %","85.9","","","","","0.3 %","177"
"Josh Beckett","Red Sox","31","193.0","1058","1936","2994","50.8 %","93.1","","","18.1 %","90.3","16.9 %","77.4","14.2 %","88.5","","","","","0.4 %","510"
"Dylan Axelrod","White Sox","25","18.2","122","193","315","51.0 %","89.4","41.2 %","82.2","","","4.3 %","76.4","3.6 %","82.7","","","","","2.9 %","9303"
"Matt Moore","Rays","22","9.1","61","108","169","71.4 %","95.7","","","","","14.3 %","83.5","14.3 %","85.8","","","","","0.6 %","1890"
"Joe Paterson","Diamondbacks","25","34.0","233","363","596","50.3 %","85.3","38.5 %","72.4","","","","","11.3 %","76.4","","","","","0.2 %","2565"
"Brandon Gomes","Rays","26","37.0","228","365","593","60.0 %","90.8","22.6 %","78.5","","","","","","","17.4 %","83.2","","","","2267"
"Ricky Romero","Blue Jays","26","225.0","1309","2065","3374","60.5 %","92.1","1.0 %","85.1","9.4 %","91.1","9.3 %","77.1","19.8 %","85.0","","","","","0.3 %","3403"
"Joel Peralta","Rays","35","67.2","372","698","1070","55.4 %","90.6","1.3 %","85.7","","","18.5 %","78.5","","","24.8 %","81.9","","","1.2 %","2332"
"David Carpenter","Astros","25","27.2","185","289","474","79.4 %","93.9","20.6 %","84.7","","","","","","","","","","","4.6 %","3959"
"Sergio Escalona","Astros","26","27.2","164","259","423","57.1 %","90.1","","","","","31.8 %","78.6","11.1 %","80.3","","","","","0.2 %","7122"
"Jeremy Horst","Reds","25","15.1","105","185","290","56.0 %","88.7","23.6 %","81.4","","","","","20.4 %","81.2","","","","","2.1 %","596"
"Jonathan Papelbon","Red Sox","30","64.1","295","707","1002","74.6 %","95.0","9.7 %","81.0","","","","","","","15.7 %","89.8","","","0.5 %","5975"
"C.J. Wilson","Rangers","30","223.1","1345","2247","3592","53.2 %","91.0","12.7 %","83.1","13.2 %","87.6","14.2 %","76.9","6.7 %","83.9","","","","","0.0 %","3580"
"Joaquin Benoit","Tigers","33","61.0","368","640","1008","61.9 %","93.9","11.8 %","86.8","","","0.1 %","75.0","26.3 %","83.4","","","","","0.6 %","1437"
"Jeremy Hellickson","Rays","24","189.0","1137","1817","2954","55.9 %","91.0","","","1.2 %","89.0","11.2 %","75.6","31.8 %","80.1","","","","","1.1 %","4371"
"Daniel Moskos","Pirates","25","24.1","148","235","383","62.5 %","92.1","26.5 %","83.1","","","","","11.0 %","85.0","","","","","2.6 %","2858"
"Jair Jurrjens","Braves","25","152.0","815","1472","2287","57.4 %","89.1","19.7 %","79.2","","","","","22.9 %","83.4","","","","","1.4 %","5556"
"Edward Mujica","Marlins","27","76.0","361","759","1120","55.0 %","91.8","7.2 %","82.4","","","","","","","37.9 %","86.2","","","1.9 %","3970"
"Jeff Samardzija","Cubs","26","88.0","620","912","1532","58.8 %","95.1","23.6 %","84.4","7.0 %","88.2","","","","","10.6 %","86.2","","","1.1 %","3254"
"Bill Bray","Reds","28","48.1","310","500","810","50.9 %","90.8","33.1 %","84.9","","","","","16.0 %","85.4","","","","","1.5 %","8538"
"Jordan Walden","Angels","23","60.1","417","672","1089","81.3 %","97.5","15.8 %","84.0","","","","","2.9 %","87.5","","","","","1.4 %","3271"
"CC Sabathia","Yankees","30","237.1","1210","2394","3604","59.1 %","93.8","19.7 %","82.7","","","7.8 %","79.1","13.4 %","86.7","","","","","1.4 %","404"
"Rich Thompson","Angels","26","54.0","314","604","918","33.4 %","90.7","","","44.5 %","87.5","20.0 %","76.8","2.1 %","83.6","","","","","0.2 %","6422"
"Ross Detwiler","Nationals","25","66.0","361","621","982","73.5 %","92.2","","","","","12.8 %","79.7","13.7 %","84.4","","","","","0.8 %","2859"
"Samuel Deduno","Padres","27","3.0","29","40","69","53.9 %","88.9","","","","","29.2 %","78.7","16.9 %","82.1","","","","","5.8 %","5285"
"Dallas Braden","Athletics","27","18.0","81","170","251","51.8 %","87.2","7.6 %","76.9","7.2 %","84.7","0.4 %","","33.1 %","72.2","","","","","","8099"
"Matt Lindstrom","Rockies","31","54.0","291","516","807","66.5 %","96.0","31.0 %","84.7","","","","","","","2.5 %","87.1","","","2.0 %","4604"
"Troy Patton","Orioles","25","30.0","155","312","467","48.2 %","89.1","32.8 %","80.8","","","4.1 %","74.1","14.9 %","81.0","","","","","0.9 %","8368"
"George Sherrill","Braves","34","36.0","191","390","581","61.5 %","87.7","38.5 %","73.5","","","","","","","","","","","1.7 %","6291"
"Rafael Perez","Indians","29","63.0","313","590","903","25.6 %","89.3","60.5 %","85.7","","","","","13.9 %","84.3","","","","","0.4 %","4078"
"Raul Valdes","- - -","33","12.0","98","146","244","58.5 %","87.3","40.3 %","77.0","","","","","1.3 %","73.7","","","","","3.3 %","1953"
"George Kontos","Yankees","26","6.0","40","50","90","61.1 %","90.6","38.9 %","85.0","","","","","","","","","","","","9486"
"Vance Worley","Phillies","23","131.2","773","1393","2166","66.5 %","90.2","21.3 %","85.4","","","4.4 %","76.1","7.7 %","83.4","","","","","0.3 %","6435"
"Adam Russell","Rays","28","32.2","233","348","581","74.0 %","94.3","21.0 %","85.5","","","1.7 %","80.1","3.3 %","84.9","","","","","0.2 %","7334"
"Tony Sipp","Indians","27","62.1","372","652","1024","66.9 %","91.4","25.3 %","81.9","","","","","7.8 %","82.2","","","","","1.1 %","8280"
"Dana Eveland","Dodgers","27","29.2","156","279","435","42.5 %","87.8","25.3 %","82.5","12.6 %","87.9","6.7 %","77.9","12.9 %","83.0","","","","","","5508"
"Hiroki Kuroda","Dodgers","36","202.0","1161","2041","3202","60.8 %","92.0","21.1 %","84.3","","","4.6 %","78.7","","","13.6 %","87.1","","","0.8 %","3283"
"Brian Wilson","Giants","29","55.0","411","616","1027","52.9 %","94.3","0.6 %","81.2","46.1 %","89.2","","","0.4 %","89.0","","","","","0.1 %","6485"
"Lance Lynn","Cardinals","24","34.2","206","357","563","73.3 %","93.2","1.8 %","86.2","","","22.2 %","78.6","2.7 %","82.7","","","","","0.9 %","2520"
"Taylor Buchholz","Mets","29","26.0","144","266","410","52.8 %","89.4","","","","","40.6 %","77.9","6.6 %","83.3","","","","","0.2 %","2168"
"Gio Gonzalez","Athletics","25","202.0","1367","2040","3407","64.7 %","92.5","","","","","27.8 %","80.1","7.5 %","83.8","","","","","0.2 %","7448"
"Scott Baker","Twins","29","134.2","670","1462","2132","66.7 %","91.0","13.9 %","83.3","","","14.8 %","80.7","4.6 %","82.4","","","","","0.5 %","6176"
