"Name","Team","Age","IP","Balls","Strikes","Pitches","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Eric Gagne","Dodgers","30","2.0","14","18","32","50.0 %","91.6","","","","","15.6 %","67.0","34.4 %","81.5","","","","","","650"
"Mike DeJean","Rockies","35","1.2","16","16","32","43.8 %","90.2","56.3 %","80.7","","","","","","","","","","","","682"
"Doug Slaten","Diamondbacks","26","5.2","28","42","70","68.3 %","88.9","20.6 %","76.6","","","","","11.1 %","83.4","","","","","10.0 %","3107"
"Phil Barzilla","Astros","27","0.1","3","5","8","50.0 %","87.5","37.5 %","83.0","","","","","12.5 %","81.0","","","","","","3486"
"Jeff Fulchino","Marlins","26","0.1","5","6","11","54.6 %","91.7","36.4 %","82.3","","","","","9.1 %","82.0","","","","","","3532"
"Pat Misch","Giants","24","1.0","8","10","18","72.2 %","86.3","11.1 %","80.5","","","16.7 %","76.0","","","","","","","","5909"
"Philip Humber","Mets","23","2.0","10","20","30","70.0 %","93.0","16.7 %","81.6","","","13.3 %","79.5","","","","","","","","8586"
"Brian Bruney","Yankees","24","20.2","146","242","388","73.9 %","95.3","12.5 %","83.7","","","0.5 %","76.0","13.1 %","85.9","","","","","1.3 %","1929"
"Matt Smith","- - -","27","20.2","147","203","350","56.3 %","88.8","42.3 %","82.6","0.3 %","87.0","","","0.9 %","82.5","0.3 %","89.0","","","2.0 %","3053"
"Dennys Reyes","Twins","29","50.2","260","438","698","59.5 %","90.1","35.9 %","84.8","","","1.5 %","78.4","3.2 %","83.9","","","","","1.7 %","444"
"Jonathan Papelbon","Red Sox","25","68.1","316","711","1027","73.5 %","94.3","6.5 %","85.6","","","","","0.3 %","84.7","19.7 %","88.2","","","1.5 %","5975"
"Cla Meredith","Padres","23","50.2","207","466","673","78.9 %","86.3","19.5 %","79.1","","","","","1.6 %","80.8","","","","","4.9 %","7613"
"Jon Huber","Mariners","24","16.2","88","141","229","38.2 %","91.9","55.9 %","82.6","","","4.4 %","79.9","1.5 %","84.7","","","","","10.5 %","3109"
"B.J. Ryan","Blue Jays","30","72.1","362","736","1098","76.2 %","90.7","22.3 %","84.7","","","","","1.5 %","85.0","","","","","1.6 %","168"
"Micah Bowie","Nationals","31","19.2","117","187","304","66.9 %","89.3","29.4 %","80.0","","","1.3 %","75.7","2.3 %","80.6","","","","","1.6 %","1561"
"Chad Durbin","Tigers","28","6.0","26","57","83","51.2 %","90.3","13.4 %","87.0","6.1 %","86.5","15.9 %","77.4","13.4 %","81.1","","","","","1.2 %","1442"
"Tim Stauffer","Padres","24","6.0","24","42","66","72.3 %","91.0","","","20.0 %","86.5","6.2 %","76.3","1.5 %","80.0","","","","","1.5 %","6432"
"Josh Sharpless","Pirates","25","12.0","98","109","207","55.3 %","88.8","29.7 %","81.3","","","4.0 %","79.9","11.1 %","82.7","","","","","3.9 %","5567"
"Mike MacDougal","- - -","29","29.0","152","239","391","65.3 %","95.2","33.4 %","85.9","","","","","1.3 %","86.7","","","","","0.5 %","612"
"Joe Nathan","Twins","31","68.1","369","703","1072","57.6 %","94.8","32.3 %","87.5","0.3 %","93.5","9.6 %","81.2","0.1 %","86.0","0.1 %","","","","2.2 %","1122"
"Glen Perkins","Twins","23","5.2","26","56","82","67.9 %","91.6","","","","","21.0 %","76.6","11.1 %","81.8","","","","","1.2 %","8041"
"Francisco Rodriguez","Angels","24","73.0","446","772","1218","56.0 %","94.8","38.9 %","84.2","","","3.1 %","83.5","2.0 %","84.9","","","","","1.4 %","1642"
"Wes Littleton","Rangers","23","36.1","177","303","480","73.5 %","88.1","13.1 %","75.9","","","2.7 %","74.8","10.7 %","77.4","","","","","1.0 %","6236"
"Carlos Martinez","Marlins","24","10.1","79","112","191","58.3 %","93.1","38.0 %","85.1","0.5 %","89.0","","","3.2 %","84.8","","","","","1.6 %","3167"
"Mariano Rivera","Yankees","36","75.0","344","757","1101","56.6 %","93.8","","","43.4 %","93.2","","","","","","","","","1.9 %","844"
"Juan Lara","Indians","25","5.0","26","40","66","72.7 %","90.1","16.7 %","82.1","1.5 %","84.0","1.5 %","81.0","7.6 %","83.4","","","","","","2613"
"Mark Lowe","Mariners","23","18.2","120","186","306","58.3 %","95.6","28.6 %","85.6","","","0.3 %","75.0","12.8 %","85.1","","","","","2.9 %","7416"
"Joel Zumaya","Tigers","21","83.1","524","901","1425","78.7 %","98.6","4.2 %","82.8","","","14.2 %","82.1","2.9 %","85.2","","","","","6.8 %","4699"
"Marty McLeary","Pirates","31","17.2","104","176","280","69.2 %","91.1","26.0 %","84.5","","","1.8 %","","2.9 %","85.0","","","","","2.1 %","2022"
"Takashi Saito","Dodgers","36","78.1","465","844","1309","56.8 %","91.4","35.6 %","80.8","","","6.4 %","75.4","1.0 %","84.8","0.2 %","83.0","","","1.5 %","6021"
"Pedro Feliciano","Mets","29","60.1","360","598","958","46.4 %","86.6","29.0 %","76.3","","","19.3 %","75.2","5.3 %","76.1","","","","","1.4 %","1601"
