"Name","Team","Age","IP","Balls","Strikes","Pitches","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Jose Mercedes","Expos","32","7.1","51","71","122","82.0 %","89.3","11.5 %","85.0","","","","","6.6 %","81.8","","","","","","396"
"Mike Fetters","Twins","38","6.0","31","41","72","66.7 %","87.7","5.6 %","84.5","","","2.8 %","76.0","20.8 %","80.2","4.2 %","","","","","988"
"Wiki Gonzalez","Padres","29","1.0","8","6","14","92.9 %","84.3","","","","","7.1 %","71.0","","","","","","","","1033"
"Desi Relaford","Royals","29","0.0","0","0","0","","","","","","","","","","","","","","","","1096"
"Jeremy Hill","Royals","25","1.0","5","10","15","60.0 %","96.1","20.0 %","80.5","","","","","20.0 %","84.0","","","","","","1607"
"Kevin Ohme","Cardinals","32","4.1","15","30","45","60.0 %","88.1","13.3 %","78.0","","","15.6 %","72.2","11.1 %","80.5","","","","","","1687"
"Noah Lowry","Giants","22","6.1","39","60","99","58.6 %","87.1","5.1 %","80.8","","","1.0 %","69.0","35.4 %","73.2","","","","","","1833"
"Ryan Madson","Phillies","22","2.0","8","15","23","50.0 %","89.5","","","","","16.7 %","81.0","33.3 %","79.5","","","","","47.8 %","1852"
"Derrick Turnbow","Angels","25","15.1","69","126","195","75.8 %","95.5","2.1 %","","","","6.8 %","80.5","15.3 %","84.6","","","","","2.6 %","1694"
"Jorge DePaula","Yankees","24","11.1","47","98","145","63.5 %","91.0","16.6 %","81.9","","","2.8 %","","17.2 %","80.9","","","","","","1827"
"John Smoltz","Braves","36","64.1","241","640","881","60.3 %","93.6","21.7 %","82.4","","","0.1 %","85.0","0.3 %","","17.5 %","89.4","","","0.8 %","115"
"Rodrigo Rosario","Astros","25","8.0","46","76","122","65.3 %","91.4","","","","","27.1 %","77.8","7.6 %","81.3","","","","","3.3 %","1747"
"Eric Gagne","Dodgers","27","82.1","363","827","1190","55.8 %","95.2","1.9 %","86.2","","","6.9 %","71.4","30.8 %","85.1","4.6 %","85.8","","","5.4 %","650"
