"Name","Team","Age","IP","Balls","Strikes","Pitches","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Lance Broadway","White Sox","23","10.1","67","107","174","56.7 %","89.8","15.6 %","82.0","12.1 %","86.3","","","15.6 %","78.3","","","","","0.6 %","9885"
"Dennis Sarfate","Astros","26","8.1","39","87","126","73.8 %","96.0","10.3 %","82.7","","","10.3 %","80.3","5.6 %","84.6","","","","","","2174"
"Joey Devine","Braves","23","8.1","75","82","157","79.1 %","94.1","20.3 %","81.7","","","","","0.7 %","81.0","","","","","5.7 %","9862"
"Tyler Walker","Giants","31","14.1","66","114","180","60.6 %","92.2","31.4 %","84.2","","","1.7 %","","6.3 %","85.2","","","","","0.6 %","901"
"Joe Thatcher","Padres","25","21.0","123","233","356","70.4 %","88.5","18.6 %","78.4","8.4 %","87.8","1.7 %","77.8","0.9 %","80.0","","","","","3.1 %","4620"
"Logan Kensing","Marlins","24","13.1","86","109","195","67.2 %","92.6","28.0 %","81.0","","","","","4.8 %","85.3","","","","","3.1 %","6166"
"J.J. Putz","Mariners","30","71.2","360","674","1034","77.6 %","94.7","6.4 %","87.0","","","","","0.9 %","85.9","15.1 %","86.3","","","0.8 %","1795"
"Takashi Saito","Dodgers","37","64.1","322","627","949","63.5 %","92.6","23.1 %","82.7","","","13.2 %","76.8","0.2 %","84.5","","","","","0.6 %","6021"
"Carlos Marmol","Cubs","24","69.1","445","711","1156","47.7 %","93.3","51.0 %","80.5","","","1.3 %","78.4","","","","","","","2.6 %","2790"
"Rafael Betancourt","Indians","32","79.1","313","848","1161","85.8 %","91.4","10.1 %","81.8","","","","","4.1 %","82.9","","","","","1.1 %","177"
"Clay Buchholz","Red Sox","22","22.2","120","206","326","52.9 %","91.1","6.5 %","82.4","","","15.4 %","75.8","25.2 %","78.6","","","","","0.3 %","3543"
"Michael Gonzalez","Braves","29","17.0","108","168","276","59.9 %","91.5","38.7 %","79.6","","","","","1.5 %","81.5","","","","","0.7 %","1794"
"Rafael Perez","Indians","25","60.2","289","594","883","48.5 %","88.4","45.2 %","82.7","1.0 %","88.9","","","5.3 %","82.2","","","","","1.0 %","4078"
"Peter Moylan","Braves","28","90.0","482","776","1258","79.1 %","91.4","16.9 %","76.4","","","3.4 %","77.6","0.7 %","84.2","","","","","4.9 %","4891"
"Troy Percival","Cardinals","37","40.0","203","389","592","76.0 %","91.7","6.8 %","85.1","","","13.3 %","76.7","3.9 %","84.3","","","","","0.2 %","29"
"Jonathan Papelbon","Red Sox","26","58.1","276","634","910","78.2 %","94.3","6.2 %","85.2","","","","","","","15.7 %","87.9","","","0.4 %","5975"
"Jonathan Albaladejo","Nationals","24","14.1","58","125","183","62.2 %","91.2","26.1 %","80.9","","","8.9 %","73.3","2.8 %","82.5","","","","","1.1 %","3521"
"Joe Nathan","Twins","32","71.2","399","746","1145","64.8 %","94.8","28.6 %","88.5","","","5.9 %","81.5","0.8 %","86.1","","","","","1.4 %","1122"
"Ian Kennedy","Yankees","22","19.0","98","178","276","59.4 %","89.3","15.2 %","80.6","","","9.4 %","75.1","15.9 %","79.6","","","","","","6986"
"J.C. Romero","- - -","31","56.1","434","529","963","58.4 %","90.3","24.8 %","80.1","","","0.1 %","82.0","16.7 %","79.6","","","","","2.0 %","754"
"Bryan Corey","Red Sox","33","9.1","42","76","118","62.9 %","91.4","9.5 %","85.1","9.5 %","87.5","","","18.1 %","79.7","","","","","1.7 %","1439"
"Lee Gardner","Marlins","32","74.1","395","731","1126","54.1 %","86.4","12.6 %","82.1","4.2 %","84.8","14.6 %","71.9","14.6 %","82.6","","","","","1.8 %","1448"
"Henry Owens","Marlins","28","23.0","154","244","398","65.0 %","93.2","30.7 %","82.0","","","1.6 %","80.3","2.8 %","81.0","","","","","2.5 %","3520"
"Heath Bell","Padres","29","93.2","517","1016","1533","64.0 %","94.7","35.8 %","83.5","","","","","0.2 %","85.0","","","","","1.0 %","2080"
"Manny Delcarmen","Red Sox","25","44.0","276","429","705","69.9 %","94.3","","","","","13.9 %","75.5","16.1 %","83.9","","","","","3.1 %","3180"
"Manny Corpas","Rockies","24","78.0","373","679","1052","72.8 %","93.1","27.0 %","79.9","","","","","0.2 %","82.5","","","","","1.5 %","2807"
"Luke Hochevar","Royals","23","12.2","73","107","180","69.4 %","91.3","13.9 %","82.7","","","12.2 %","76.6","4.4 %","82.2","","","","","","6943"
"Jeremy Accardo","Blue Jays","25","67.1","399","682","1081","73.0 %","94.1","7.4 %","83.9","0.3 %","87.7","0.1 %","77.0","2.9 %","85.0","16.3 %","84.3","","","1.9 %","6428"
"Jensen Lewis","Indians","23","29.1","172","323","495","71.5 %","90.1","12.8 %","82.7","","","","","15.7 %","80.0","","","","","2.2 %","3384"
"Scott Downs","Blue Jays","31","58.0","361","554","915","63.3 %","88.7","10.2 %","79.8","","","24.4 %","74.2","2.3 %","79.3","","","","","3.1 %","773"
"Russ Springer","Cardinals","38","66.0","387","683","1070","60.0 %","91.6","15.0 %","85.9","15.8 %","86.8","7.3 %","76.9","2.0 %","85.2","","","","","0.8 %","1652"
"Hideki Okajima","Red Sox","31","69.0","375","687","1062","49.4 %","87.2","","","","","17.2 %","74.3","33.4 %","81.3","","","","","1.1 %","7763"
"Luis Mendoza","Rangers","23","16.0","74","141","215","73.7 %","91.2","13.2 %","82.9","","","3.8 %","78.3","9.4 %","82.4","","","","","0.9 %","3126"
"Lee Gronkiewicz","Blue Jays","28","4.0","21","27","48","70.2 %","84.2","17.0 %","77.1","","","6.4 %","71.7","6.4 %","77.3","","","","","2.1 %","3508"
"Matt Capps","Pirates","23","79.0","317","798","1115","78.2 %","92.9","17.6 %","84.3","","","0.1 %","77.0","4.1 %","84.4","","","","","2.9 %","4788"
"Yorman Bazardo","Tigers","22","23.2","138","232","370","61.3 %","90.9","7.7 %","83.4","","","","","31.0 %","81.0","","","","","1.6 %","3143"
"Brian Wilson","Giants","25","23.2","123","226","349","69.9 %","95.2","22.0 %","89.2","3.8 %","91.0","0.6 %","83.0","3.8 %","86.8","","","","","0.9 %","6485"
"Manny Acosta","Braves","26","23.2","156","227","383","58.6 %","94.9","27.7 %","81.5","","","4.2 %","79.8","9.5 %","85.3","","","","","1.0 %","8725"
"Bobby Seay","Tigers","29","46.1","258","491","749","55.9 %","90.3","41.7 %","77.9","","","1.9 %","76.6","0.6 %","81.3","","","","","2.9 %","1225"
"Matt Guerrier","Twins","28","88.0","495","801","1296","55.0 %","91.6","22.1 %","86.1","","","16.8 %","78.9","6.2 %","83.7","","","","","1.9 %","2061"
"Casey Janssen","Blue Jays","25","72.2","402","663","1065","41.0 %","90.9","19.1 %","84.6","24.8 %","88.8","12.0 %","75.8","3.2 %","82.9","","","","","1.0 %","7355"
"George Sherrill","Mariners","30","45.2","254","470","724","67.4 %","90.2","24.3 %","78.1","","","2.4 %","75.8","5.9 %","81.0","","","","","1.4 %","6291"
"Damaso Marte","Pirates","32","45.1","290","453","743","70.5 %","91.9","27.9 %","82.0","","","","","1.6 %","81.4","","","","","1.6 %","247"
"Rich Harden","Athletics","25","25.2","155","278","433","62.4 %","93.8","2.6 %","83.9","","","","","16.0 %","85.8","19.1 %","85.4","","","3.0 %","1772"
"David Riske","Royals","30","69.2","370","707","1077","83.8 %","89.6","1.8 %","79.9","","","","","2.0 %","77.1","12.4 %","79.4","","","2.2 %","402"
"Joakim Soria","Royals","23","69.0","381","698","1079","77.2 %","91.1","5.6 %","79.2","","","9.8 %","71.4","7.5 %","81.9","","","","","1.7 %","6941"
"Jason Isringhausen","Cardinals","34","65.1","409","646","1055","47.8 %","91.1","2.8 %","88.4","26.8 %","89.0","20.8 %","78.3","1.8 %","86.1","","","","","0.9 %","1158"
"Akinori Otsuka","Rangers","35","32.1","188","316","504","32.5 %","89.6","44.4 %","83.6","","","6.8 %","75.5","7.6 %","83.6","8.6 %","83.5","","","1.2 %","1895"
"Jared Burton","Reds","26","43.0","250","428","678","40.4 %","92.4","9.4 %","86.9","42.1 %","92.1","","","8.0 %","88.1","","","","","4.4 %","8346"
"Jake Peavy","Padres","26","223.1","1262","2348","3610","57.6 %","92.5","23.2 %","83.4","9.3 %","87.3","2.5 %","76.5","7.4 %","84.3","","","","","1.4 %","1051"
"Ron Mahay","- - -","36","67.0","442","663","1105","55.7 %","90.0","16.9 %","81.9","","","","","27.4 %","82.5","","","","","1.5 %","290"
"Pedro Martinez","Mets","35","28.0","154","307","461","60.3 %","86.2","","","18.0 %","81.1","8.1 %","71.3","13.6 %","76.6","","","","","1.1 %","200"
"Billy Wagner","Mets","35","68.1","416","732","1148","69.9 %","94.6","30.0 %","85.0","","","","","0.1 %","86.0","","","","","1.5 %","578"
"Jose Valverde","Diamondbacks","29","64.1","365","702","1067","77.8 %","93.4","0.9 %","85.1","0.8 %","91.0","","","0.5 %","83.5","20.0 %","84.6","","","0.7 %","1726"
"Brandon Lyon","Diamondbacks","27","74.0","378","735","1113","64.6 %","91.8","4.8 %","87.8","","","23.4 %","75.2","7.3 %","84.3","","","","","0.8 %","1312"
"Justin Hampson","Padres","27","53.1","285","508","793","39.6 %","86.8","30.6 %","83.5","","","15.7 %","74.7","14.1 %","79.5","","","","","2.5 %","2209"
"Royce Ring","- - -","26","20.0","159","201","360","46.7 %","88.9","5.4 %","74.0","","","46.2 %","72.1","1.7 %","77.0","","","","","1.7 %","4350"
"Doug Slaten","Diamondbacks","27","36.1","224","371","595","52.1 %","89.7","38.1 %","80.9","","","1.1 %","79.4","8.7 %","83.6","","","","","3.7 %","3107"
"Ehren Wassermann","White Sox","26","23.0","137","215","352","78.9 %","86.9","12.5 %","73.6","","","5.0 %","73.0","3.6 %","76.5","","","","","3.1 %","6380"
"Bobby Jenks","White Sox","26","65.0","278","588","866","65.2 %","93.9","20.6 %","88.2","1.7 %","90.0","12.4 %","82.6","0.1 %","83.0","","","","","2.0 %","8645"
"Kevin Cameron","Padres","27","58.0","394","642","1036","28.7 %","91.4","13.8 %","80.9","55.8 %","90.3","0.4 %","78.0","1.3 %","80.8","","","","","3.3 %","3523"
"Francisco Rodriguez","Angels","25","67.1","468","732","1200","51.3 %","93.6","39.2 %","80.4","","","","","9.6 %","83.2","","","","","0.2 %","1642"
"Jason Bulger","Angels","28","6.1","45","68","113","51.3 %","92.7","33.6 %","80.4","","","8.0 %","77.9","7.1 %","82.3","","","","","","3915"
"Ross Ohlendorf","Yankees","24","6.1","41","69","110","70.9 %","94.0","22.7 %","83.9","","","","","6.4 %","83.9","","","","","","8268"
"Erasmo Ramirez","- - -","31","6.1","31","75","106","74.5 %","81.5","4.7 %","74.4","","","3.8 %","65.5","17.0 %","65.4","","","","","","1699"
"Jonathan Broxton","Dodgers","23","82.0","432","868","1300","69.5 %","95.2","27.5 %","86.0","0.1 %","87.0","","","3.0 %","86.8","","","","","0.6 %","4759"
"Joaquin Benoit","Rangers","29","82.0","516","839","1355","58.6 %","92.6","19.7 %","86.1","0.6 %","90.0","0.4 %","79.0","20.7 %","83.1","","","","","2.0 %","1437"
"Huston Street","Athletics","23","50.0","263","505","768","48.2 %","90.4","32.5 %","84.9","","","","","19.3 %","80.9","","","","","1.7 %","8258"
"Justin Speier","Angels","33","50.0","272","505","777","33.3 %","89.1","49.9 %","83.6","","","0.1 %","80.0","","","16.8 %","80.1","","","2.3 %","451"
"Aaron Fultz","Indians","33","37.0","240","367","607","52.8 %","84.1","16.4 %","78.0","","","8.5 %","73.0","22.3 %","76.4","","","","","2.6 %","1113"
"Pat Neshek","Twins","26","70.1","392","710","1102","51.3 %","89.7","44.6 %","84.8","","","","","4.1 %","76.8","","","","","4.9 %","4682"
"Matt Herges","Rockies","37","48.2","256","440","696","60.9 %","89.3","","","","","16.4 %","74.9","22.7 %","80.4","","","","","1.2 %","780"
"Brian Wolfe","Blue Jays","26","45.1","235","422","657","55.4 %","93.2","3.4 %","85.8","23.6 %","91.0","15.1 %","80.2","2.5 %","84.6","","","","","2.1 %","8515"
"Trevor Hoffman","Padres","39","57.1","249","542","791","60.0 %","85.1","6.0 %","80.5","","","0.1 %","73.0","33.9 %","73.8","","","","","1.6 %","1035"
"Francisco Cordero","Brewers","32","63.1","364","684","1048","51.2 %","94.2","46.2 %","87.7","","","","","2.4 %","84.7","0.2 %","","","","1.0 %","1243"
"Rafael Soriano","Braves","27","72.0","375","761","1136","76.7 %","94.6","22.2 %","83.6","","","","","1.1 %","87.4","","","","","1.2 %","1100"
"Brandon Webb","Diamondbacks","28","236.1","1209","2228","3437","73.5 %","88.3","","","","","15.8 %","75.3","10.7 %","80.1","","","","","1.7 %","1692"
"John Lackey","Angels","28","224.0","1194","2202","3396","62.1 %","90.9","13.7 %","81.5","0.1 %","89.3","20.1 %","78.9","4.0 %","82.7","","","","","1.1 %","1507"
"Jimmy Gobble","Royals","25","53.2","365","572","937","59.1 %","90.1","33.6 %","82.9","","","4.7 %","76.4","2.5 %","82.6","","","","","2.5 %","1791"
"Zach Miner","Tigers","25","53.2","388","555","943","63.7 %","92.3","8.8 %","82.6","","","6.6 %","74.6","20.9 %","81.5","","","","","1.4 %","3193"
"Brian Shouse","Brewers","38","47.2","295","468","763","72.9 %","80.6","24.4 %","72.7","","","","","2.7 %","76.5","","","","","3.9 %","630"
"Brad Penny","Dodgers","29","208.0","1147","2080","3227","71.7 %","93.4","","","","","12.6 %","77.1","15.6 %","84.8","","","","","0.6 %","535"
"C.J. Wilson","Rangers","26","68.1","485","689","1174","76.7 %","92.4","11.7 %","84.4","","","3.5 %","77.2","8.1 %","82.6","","","","","2.5 %","3580"
"Aaron Heilman","Mets","28","86.0","476","886","1362","61.7 %","92.4","0.4 %","84.4","","","","","37.9 %","82.4","","","","","0.8 %","1751"
"Ryan Franklin","Cardinals","34","80.0","398","779","1177","46.9 %","91.0","22.9 %","84.8","4.1 %","87.8","13.5 %","77.4","6.7 %","82.8","5.9 %","83.5","","","0.6 %","1076"
"Chad Qualls","Astros","28","82.2","414","848","1262","61.0 %","92.8","38.6 %","87.1","0.4 %","90.4","","","","","","","","","2.1 %","2170"
"Brendan Donnelly","Red Sox","35","20.2","114","228","342","48.5 %","89.3","31.8 %","85.5","1.5 %","87.8","","","12.4 %","82.9","5.9 %","82.3","","","0.6 %","1441"
"Doug Brocail","Padres","40","76.2","409","757","1166","60.8 %","91.0","6.5 %","85.5","4.2 %","88.7","20.9 %","76.7","7.4 %","84.3","0.2 %","89.5","","","2.7 %","551"
"Ryan Madson","Phillies","26","56.0","317","566","883","59.7 %","91.4","","","13.0 %","87.6","0.5 %","76.0","26.8 %","80.9","","","","","1.9 %","1852"
"Roberto Hernandez","Indians","26","215.0","1118","2019","3137","75.0 %","93.5","12.0 %","83.7","","","","","","","13.0 %","85.1","","","5.6 %","3273"
"Dan Haren","Athletics","26","222.2","1329","2306","3635","51.7 %","91.7","22.2 %","81.4","1.6 %","88.4","","","1.6 %","82.3","22.9 %","84.3","","","2.2 %","1757"
"Brian Fuentes","Rockies","31","61.1","372","633","1005","67.6 %","90.4","12.7 %","75.7","","","1.5 %","71.5","18.3 %","72.3","","","","","0.2 %","429"
"Matt Lindstrom","Marlins","27","67.0","398","707","1105","72.8 %","96.6","19.9 %","82.9","","","0.7 %","81.1","6.6 %","87.3","","","","","1.7 %","4604"
"Pedro Feliciano","Mets","30","64.0","402","625","1027","58.9 %","86.6","29.9 %","75.9","","","4.1 %","74.5","7.2 %","74.3","","","","","1.9 %","1601"
"Juan Cruz","Diamondbacks","28","61.0","442","687","1129","64.7 %","94.5","27.9 %","81.7","","","0.3 %","79.7","7.1 %","82.8","","","","","1.2 %","273"
"Javier Lopez","Red Sox","29","40.2","259","397","656","56.4 %","85.1","28.5 %","76.5","","","","","15.1 %","77.3","","","","","3.7 %","1663"
"John Smoltz","Braves","40","205.2","993","2069","3062","44.9 %","92.5","33.6 %","87.0","","","6.5 %","77.9","7.4 %","84.3","7.6 %","86.3","","","2.4 %","115"
"Chris Young","Padres","28","173.0","1040","1844","2884","74.7 %","88.7","18.3 %","79.4","","","1.7 %","71.5","5.3 %","80.0","","","","","0.8 %","3196"
"Glen Perkins","Twins","24","28.2","155","276","431","66.8 %","92.0","","","","","18.6 %","78.9","14.6 %","83.9","","","","","1.4 %","8041"
"Mariano Rivera","Yankees","37","71.1","340","785","1125","26.7 %","93.6","","","73.3 %","93.2","","","0.1 %","83.0","","","","","1.0 %","844"
"Erik Bedard","Orioles","28","182.0","1054","1892","2946","57.9 %","91.6","","","3.1 %","89.7","34.2 %","77.5","4.9 %","81.3","","","","","0.8 %","126"
"Chris Schroder","Nationals","28","45.1","297","497","794","72.7 %","90.5","20.5 %","82.5","","","","","6.8 %","82.2","","","","","1.3 %","3553"
"Roy Oswalt","Astros","29","212.0","1064","2239","3303","65.6 %","92.7","11.4 %","84.7","","","16.4 %","71.7","6.7 %","83.8","","","","","2.1 %","571"
"Luis Ayala","Nationals","29","42.1","243","435","678","59.6 %","89.6","26.5 %","82.3","","","","","13.9 %","82.0","","","","","1.5 %","1650"
"Tim Byrdak","Tigers","33","45.0","331","463","794","53.1 %","89.8","37.6 %","82.1","","","0.8 %","77.3","8.4 %","82.2","0.1 %","84.0","","","2.3 %","1995"
"CC Sabathia","Indians","26","241.0","1204","2377","3581","60.6 %","92.9","21.0 %","80.7","","","","","18.5 %","85.1","","","","","1.3 %","404"
"Jamie Walker","Orioles","35","61.1","318","616","934","34.2 %","85.5","39.6 %","74.8","","","0.2 %","72.5","26.0 %","77.8","","","","","2.7 %","502"
"Tony Pena","Diamondbacks","25","85.1","464","763","1227","64.5 %","95.0","23.0 %","86.5","","","0.6 %","77.4","11.9 %","85.9","","","","","4.2 %","4573"
"Josh Beckett","Red Sox","27","200.2","1053","2047","3100","63.1 %","94.6","","","0.2 %","93.0","25.1 %","77.2","11.5 %","87.9","","","","","1.0 %","510"
"Chad Billingsley","Dodgers","22","147.0","1009","1509","2518","64.8 %","92.0","3.4 %","86.7","14.2 %","88.3","14.5 %","79.0","3.0 %","84.3","","","","","1.0 %","5842"
"Scott Dohmann","Devil Rays","29","32.2","217","338","555","68.6 %","93.2","23.8 %","84.3","","","","","0.4 %","87.0","7.3 %","88.5","","","1.4 %","1936"
"Bob Howry","Cubs","33","81.1","435","852","1287","86.2 %","92.3","9.7 %","84.4","","","","","4.1 %","84.2","","","","","1.8 %","237"
"Johan Santana","Twins","28","219.0","1073","2272","3345","59.2 %","91.7","11.6 %","84.9","","","","","29.1 %","81.9","","","","","1.3 %","755"
"Kerry Wood","Cubs","30","24.1","163","245","408","67.1 %","92.9","24.8 %","83.4","0.8 %","89.7","7.1 %","75.9","0.3 %","86.0","","","","","2.9 %","304"
"Tim Hudson","Braves","31","224.1","1132","2033","3165","64.9 %","90.9","13.8 %","84.5","5.0 %","87.3","2.5 %","76.3","2.9 %","81.2","10.9 %","82.6","","","1.6 %","921"
"Chad Bradford","Orioles","32","64.2","302","674","976","76.4 %","78.6","16.8 %","66.7","","","","","6.8 %","71.3","","","","","1.7 %","904"
"Brad Lidge","Astros","30","67.0","439","707","1146","58.0 %","95.4","36.4 %","86.8","0.5 %","91.0","","","5.1 %","86.7","","","","","1.9 %","563"
"Chad Cordero","Nationals","25","75.0","500","820","1320","76.2 %","89.6","19.8 %","80.0","","","0.1 %","77.0","3.9 %","83.6","","","","","3.5 %","1816"
"John Thomson","Royals","33","10.2","63","105","168","66.7 %","87.4","17.3 %","84.7","4.8 %","85.8","6.6 %","74.3","2.4 %","82.8","2.4 %","81.8","","","","453"
"Troy Cate","Cardinals","26","16.0","107","159","266","61.9 %","88.5","23.4 %","80.2","","","6.4 %","72.7","8.3 %","76.4","","","","","0.4 %","4627"
"Blaine Boyer","Braves","25","5.1","40","65","105","83.5 %","91.9","","","","","10.7 %","74.5","5.8 %","84.7","","","","","1.0 %","2237"
"Cole Hamels","Phillies","23","183.1","880","1911","2791","54.3 %","90.4","","","","","10.6 %","76.5","35.2 %","81.4","","","","","1.9 %","4972"
"Kelvim Escobar","Angels","31","195.2","1108","1933","3041","51.7 %","93.7","11.3 %","85.5","4.1 %","87.9","9.0 %","80.5","12.5 %","85.1","11.4 %","87.1","","","0.7 %","1298"
"LaTroy Hawkins","Rockies","34","55.1","329","526","855","69.6 %","93.5","14.0 %","87.1","","","5.9 %","79.0","10.5 %","83.8","","","","","0.7 %","729"
"Mike Timlin","Red Sox","41","55.1","251","507","758","60.4 %","90.3","5.3 %","85.0","27.3 %","87.8","1.0 %","77.4","4.8 %","82.3","1.3 %","82.6","","","6.1 %","1187"
"Shawn Hill","Nationals","26","97.1","537","910","1447","74.0 %","89.5","","","","","16.4 %","75.2","9.6 %","81.5","","","","","2.2 %","1882"
"Ambiorix Burgos","Mets","23","23.2","129","236","365","67.4 %","94.7","18.0 %","86.1","","","","","0.8 %","84.3","13.8 %","85.1","","","0.8 %","3246"
"Brad Hennessey","Giants","27","68.1","414","663","1077","68.1 %","90.7","24.8 %","85.9","0.8 %","86.8","4.8 %","77.1","1.6 %","83.5","","","","","2.1 %","3720"
"Franklin Morales","Rockies","21","39.1","233","361","594","69.1 %","92.5","","","","","17.3 %","70.9","13.6 %","77.5","","","","","1.9 %","5088"
"Joe Smith","Mets","23","44.1","315","481","796","63.1 %","86.3","27.6 %","78.6","","","","","9.3 %","78.0","","","","","3.6 %","3281"
"Kevin Correia","Giants","26","101.2","602","1061","1663","66.6 %","90.4","20.5 %","85.1","0.6 %","88.0","0.4 %","75.7","11.9 %","83.0","","","","","2.5 %","1767"
"Jeff Bennett","Braves","27","13.0","83","132","215","72.3 %","91.6","13.4 %","81.9","","","5.7 %","78.9","8.6 %","86.2","","","","","2.3 %","1903"
"Brian Tallet","Blue Jays","29","62.1","416","668","1084","63.5 %","89.5","24.7 %","82.4","","","","","11.8 %","82.4","","","","","3.3 %","1646"
"Scott Kazmir","Devil Rays","23","206.2","1316","2293","3609","69.6 %","92.1","18.8 %","83.7","","","","","11.6 %","81.4","","","","","1.0 %","4897"
"Michael Wuertz","Cubs","28","72.1","427","727","1154","40.4 %","90.5","52.2 %","85.1","","","0.6 %","77.4","6.8 %","84.0","","","","","2.9 %","1856"
"Cla Meredith","Padres","24","79.2","388","756","1144","76.2 %","85.6","16.6 %","78.2","","","","","7.2 %","76.7","","","","","3.4 %","7613"
"Jeremy Affeldt","Rockies","28","59.0","400","571","971","61.0 %","92.3","","","0.3 %","87.3","37.5 %","76.9","1.2 %","85.5","","","","","5.9 %","583"
"Kevin Gregg","Marlins","29","84.0","567","929","1496","68.6 %","92.4","17.6 %","82.8","0.2 %","89.0","0.3 %","80.5","3.5 %","83.3","9.8 %","84.6","","","1.5 %","1793"
"Troy Patton","Astros","21","12.2","82","134","216","67.9 %","88.8","21.7 %","77.7","","","","","10.4 %","78.8","","","","","1.9 %","8368"
"Chris Britton","Yankees","24","12.2","73","113","186","82.5 %","88.8","","","","","15.3 %","78.3","2.2 %","81.3","","","","","1.6 %","3600"
"Josh Hancock","Cardinals","29","12.2","65","135","200","47.7 %","87.8","31.7 %","78.2","0.5 %","84.0","14.1 %","77.4","6.0 %","82.4","","","","","0.5 %","1606"
"Oliver Perez","Mets","25","177.0","1133","1882","3015","65.5 %","90.5","26.5 %","77.9","","","2.4 %","71.5","5.5 %","81.1","","","","","1.1 %","1514"
"Adam Loewen","Orioles","23","30.1","244","326","570","58.2 %","89.3","6.2 %","81.0","0.5 %","89.0","25.6 %","77.7","9.5 %","83.0","","","","","0.5 %","2134"
"Angel Guzman","Cubs","25","30.1","153","292","445","56.9 %","93.7","19.4 %","87.2","0.2 %","92.0","18.2 %","77.3","5.3 %","83.9","","","","","2.0 %","2145"
"Vinnie Chulk","Giants","28","53.0","303","516","819","54.2 %","92.5","36.5 %","80.5","0.1 %","90.0","1.4 %","79.0","7.9 %","81.6","","","","","2.0 %","1838"
"Ron Flores","Athletics","27","17.2","143","196","339","52.9 %","85.0","19.9 %","78.7","","","","","27.2 %","76.8","","","","","6.8 %","3152"
"Chad Paronto","Braves","31","40.1","281","400","681","67.6 %","89.8","25.8 %","83.5","","","1.3 %","76.9","5.4 %","82.8","","","","","6.2 %","399"
"Bob Wickman","- - -","38","50.1","328","543","871","65.0 %","90.7","32.2 %","82.8","","","2.6 %","78.5","0.2 %","81.0","","","","","1.7 %","413"
"David Weathers","Reds","37","77.2","455","747","1202","74.8 %","88.3","23.0 %","83.7","","","","","2.2 %","84.0","","","","","2.7 %","902"
"Mitch Stetter","Brewers","26","5.0","26","40","66","36.4 %","84.5","60.6 %","77.4","3.0 %","84.5","","","","","","","","","","5579"
"Jon Rauch","Nationals","28","87.1","446","935","1381","60.4 %","90.6","27.0 %","81.9","","","4.7 %","74.4","8.0 %","83.1","","","","","2.1 %","1475"
"Jamey Wright","Rangers","32","77.0","528","711","1239","60.1 %","89.4","14.6 %","85.9","4.2 %","86.7","13.3 %","75.7","7.8 %","83.7","","","","","1.9 %","715"
"Mark Buehrle","White Sox","28","201.0","1106","1997","3103","44.6 %","85.9","6.1 %","79.6","19.8 %","82.3","10.2 %","70.6","19.4 %","78.0","","","","","2.9 %","225"
"Tim Redding","Nationals","29","84.0","546","849","1395","60.4 %","90.2","17.7 %","83.4","","","13.0 %","75.2","8.9 %","81.7","","","","","2.9 %","573"
