"Name","Team","Age","IP","Balls","Strikes","Pitches","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Scott Spiezio","Cardinals","34","1.0","10","10","20","94.7 %","83.9","5.3 %","75.0","","","","","","","","","","","5.0 %","37"
"Augie Ojeda","Diamondbacks","32","1.0","4","4","8","75.0 %","78.5","","","","","","","25.0 %","69.0","","","","","","297"
"Randy Choate","Diamondbacks","31","0.0","6","7","13","61.5 %","88.3","38.5 %","76.6","","","","","","","","","","","","813"
"Jeff Cirillo","Diamondbacks","37","1.0","14","10","24","47.8 %","81.7","","","","","13.0 %","72.3","","","","","39.1 %","64.9","4.2 %","1073"
"Matt Miller","Indians","35","1.0","4","9","13","30.8 %","87.7","61.5 %","77.4","","","","","7.7 %","80.0","","","","","","1754"
"Jon Adkins","Mets","29","1.0","3","6","9","66.7 %","90.8","33.3 %","82.0","","","","","","","","","","","","1799"
"Jason Wood","Marlins","37","1.0","4","8","12","91.7 %","73.2","","","","","8.3 %","","","","","","","","","1999"
"Josh Wilson","Devil Rays","26","1.0","9","12","21","100.0 %","84.5","","","","","","","","","","","","","","2102"
"Aaron Rakers","Padres","30","1.0","5","9","14","83.3 %","","","","","","8.3 %","","","","8.3 %","","","","14.3 %","2638"
"Ross Detwiler","Nationals","21","1.0","7","12","19","89.5 %","93.2","","","","","10.5 %","78.0","","","","","","","","2859"
"Jamie Vermilyea","Blue Jays","25","6.0","18","48","66","55.4 %","86.6","27.7 %","79.8","","","3.1 %","76.5","13.9 %","81.0","","","","","1.5 %","5660"
"Mike Schultz","Diamondbacks","27","1.0","4","8","12","50.0 %","90.8","","","","","41.7 %","78.8","8.3 %","84.0","","","","","","7057"
"Joe Bisenius","Phillies","24","2.0","15","20","35","64.7 %","92.0","","","","","35.3 %","82.6","","","","","","","2.9 %","7370"
"Darren Clarke","Rockies","26","1.1","11","16","27","70.4 %","95.4","22.2 %","84.2","","","","","7.4 %","84.5","","","","","","8226"
"Joba Chamberlain","Yankees","21","24.0","123","219","342","62.3 %","97.0","34.4 %","86.4","","","2.4 %","79.1","0.9 %","83.0","","","","","1.5 %","2692"
"Kevin Hart","Cubs","24","11.0","54","114","168","31.3 %","91.5","33.7 %","85.4","17.5 %","91.4","15.7 %","77.9","1.8 %","83.3","","","","","1.2 %","8079"
