"Name","Team","Age","IP","Balls","Strikes","Pitches","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Travis Driskill","Astros","33","1.0","8","11","19","63.2 %","92.0","","","","","","","5.3 %","","31.6 %","81.7","","","","134"
"Jay Powell","Braves","33","3.1","32","36","68","59.7 %","87.9","29.9 %","80.4","","","","","10.5 %","80.0","","","","","1.5 %","1271"
"Felix Heredia","Mets","30","2.2","20","24","44","50.0 %","87.3","29.6 %","81.5","","","11.4 %","77.5","9.1 %","82.8","","","","","","1304"
"Frank Brooks","Braves","26","0.1","5","3","8","50.0 %","86.5","37.5 %","78.7","","","","","12.5 %","74.0","","","","","","1877"
"Tyler Johnson","Cardinals","24","2.2","24","27","51","57.1 %","87.5","35.7 %","79.3","","","7.1 %","74.5","","","","","","","17.7 %","3404"
"Shaun Marcum","Blue Jays","23","8.0","58","82","140","55.8 %","89.4","25.4 %","83.1","","","7.3 %","75.7","11.6 %","83.5","","","","","1.4 %","6204"
"Jorge Campillo","Mariners","26","2.0","16","23","39","25.6 %","85.4","18.0 %","80.6","","","7.7 %","70.0","48.7 %","74.1","","","","","","8686"
"Scott Feldman","Rangers","22","9.1","42","83","125","83.3 %","89.0","15.0 %","79.2","","","","","1.7 %","79.5","","","","","3.2 %","6283"
"Ron Flores","Athletics","25","8.2","43","87","130","48.5 %","86.9","29.2 %","78.3","","","1.5 %","78.5","20.0 %","76.4","0.8 %","82.0","","","","3152"
"Mariano Rivera","Yankees","35","78.1","410","776","1186","44.1 %","93.4","1.0 %","91.1","54.8 %","93.0","","","","","","","","","1.2 %","844"
"Fernando Cabrera","Indians","23","30.2","148","283","431","70.7 %","93.5","19.9 %","83.3","","","2.2 %","79.8","0.3 %","86.0","7.0 %","84.9","","","6.5 %","2105"
"Juan Padilla","Mets","28","36.1","187","342","529","39.4 %","85.2","28.5 %","82.0","1.2 %","84.0","1.6 %","73.0","29.3 %","78.7","","","","","2.7 %","2532"
