"Name","Team","Age","IP","Balls","Strikes","Pitches","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Courtney Duncan","Cubs","27","2.1","13","28","41","45.5 %","89.4","54.6 %","83.6","","","","","","","","","","","73.2 %","276"
"Todd Zeile","Rockies","36","1.0","5","6","11","50.0 %","","","","","","50.0 %","1.0","","","","","","","81.8 %","457"
"Jae Seo","Mets","25","1.0","6","11","17","58.8 %","84.7","5.9 %","74.0","","","11.8 %","69.5","23.5 %","75.0","","","","","","895"
"Tomas Perez","Phillies","28","0.1","3","3","6","50.0 %","90.0","","","","","50.0 %","72.3","","","","","","","","965"
"D'Angelo Jimenez","Padres","24","1.1","4","5","9","100.0 %","","","","","","","","","","","","","","","1038"
"Joe Nathan","Giants","27","3.2","19","32","51","76.5 %","92.9","","","","","19.6 %","79.5","3.9 %","82.5","","","","","","1122"
"Jose Nunez","Padres","23","1.0","7","8","15","46.7 %","86.2","","","","","53.3 %","72.6","","","","","","","","1410"
"Bryan Corey","Dodgers","28","1.0","4","6","10","60.0 %","89.2","10.0 %","86.0","","","","","30.0 %","78.7","","","","","","1439"
"Alex Herrera","Indians","25","5.1","28","51","79","78.5 %","89.5","2.5 %","82.5","","","12.7 %","77.1","6.3 %","78.0","","","","","","1505"
"Jason Pearson","Padres","26","1.2","7","15","22","59.1 %","86.3","","","","","31.8 %","72.0","9.1 %","75.0","","","","","","1512"
"Franklyn German","Tigers","22","6.2","29","54","83","50.0 %","94.7","","","","","","","","","50.0 %","85.0","","","15.7 %","1603"
"Joe Dawley","Braves","30","0.1","2","5","7","85.7 %","89.3","","","","","14.3 %","66.0","","","","","","","","1632"
"Francisco Rodriguez","Angels","20","5.2","32","60","92","53.6 %","93.5","21.4 %","62.5","","","25.0 %","81.6","","","","","","","8.7 %","1642"
"Chris Hammond","Braves","36","76.0","425","699","1124","50.1 %","86.2","9.0 %","82.3","","","14.4 %","73.1","26.5 %","73.9","","","","","0.4 %","92"
"Pat Strange","Mets","21","8.0","35","77","112","70.4 %","92.4","","","","","19.4 %","82.1","10.2 %","81.6","","","","","3.6 %","896"
"Matt DeWitt","Padres","24","7.1","42","68","110","60.9 %","85.9","","","","","28.2 %","74.4","10.9 %","75.0","","","","","","1028"
"Lance Carter","Devil Rays","27","20.1","116","181","297","50.2 %","87.0","","","","","29.0 %","77.1","20.9 %","80.4","","","","","","1592"
"Joey Eischen","Expos","32","53.2","314","512","826","55.7 %","89.4","44.1 %","76.6","","","","","0.1 %","81.0","","","","","14.7 %","774"
"Brandon Villafuerte","Padres","26","32.0","170","287","457","66.7 %","91.1","","","","","31.2 %","83.2","2.1 %","83.6","","","","","8.1 %","1059"
