"Name","Team","Age","IP","Balls","Strikes","Pitches","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Mike Hampton","Diamondbacks","37","4.1","21","37","58","25.9 %","86.4","","","38.9 %","85.1","18.5 %","77.4","16.7 %","80.0","","","","","6.9 %","430"
"Felipe Lopez","Cardinals","30","1.0","9","12","21","90.5 %","","","","","","9.5 %","","","","","","","","","1311"
"Bill Hall","Red Sox","30","1.0","4","7","11","100.0 %","88.1","","","","","","","","","","","","","9.1 %","1605"
"Aaron Miles","Cardinals","33","2.0","6","13","19","100.0 %","68.9","","","","","","","","","","","","","5.3 %","1844"
"Erick Threets","White Sox","28","12.1","63","108","171","73.7 %","93.5","25.2 %","84.3","","","","","1.2 %","84.0","","","","","","3158"
"Andy Marte","Indians","26","1.0","4","9","13","100.0 %","85.6","","","","","","","","","","","","","","3203"
"Romulo Sanchez","Yankees","26","4.1","33","46","79","64.5 %","95.2","9.2 %","85.0","","","","","26.3 %","84.6","","","","","3.8 %","4170"
"Hunter Jones","Marlins","26","1.2","15","19","34","76.5 %","88.1","23.5 %","78.6","","","","","","","","","","","","4656"
"Rich Hill","Red Sox","30","4.0","26","46","72","44.4 %","89.1","","","","","51.4 %","73.2","4.2 %","83.0","","","","","","4806"
"Steve Cishek","Marlins","24","4.1","18","45","63","47.6 %","92.5","49.2 %","84.3","","","","","3.2 %","84.5","","","","","","6483"
"Joe Inglett","Brewers","32","1.0","1","5","6","","","","","","","","","","","","","100.0 %","54.0","","7254"
"Jared Burton","Reds","29","3.1","15","27","42","4.9 %","90.0","24.4 %","81.7","36.6 %","89.1","","","34.2 %","84.2","","","","","2.4 %","8346"
"Troy Patton","Orioles","24","0.2","7","9","16","37.5 %","90.8","43.8 %","78.9","","","6.3 %","71.0","12.5 %","82.5","","","","","","8368"
"Gregory Infante","White Sox","22","4.2","39","47","86","62.8 %","95.8","","","3.5 %","85.7","20.9 %","82.9","12.8 %","86.1","","","","","","9119"
"Craig Kimbrel","Braves","22","20.2","160","224","384","78.2 %","95.4","21.8 %","84.7","","","","","","","","","","","0.8 %","6655"
"Kenley Jansen","Dodgers","22","27.0","189","296","485","86.9 %","93.9","10.0 %","81.0","","","","","3.1 %","86.3","","","","","1.0 %","3096"
"Chris Young","Padres","31","20.0","126","183","309","77.0 %","84.7","18.8 %","75.1","","","2.9 %","72.7","1.3 %","76.8","","","","","","3196"
"Hong-Chih Kuo","Dodgers","28","60.0","314","626","940","73.6 %","94.3","24.1 %","86.8","","","1.2 %","79.0","1.1 %","86.0","","","","","0.3 %","7016"
"Joe Thatcher","Padres","28","35.0","187","376","563","66.5 %","86.3","33.5 %","77.0","","","","","","","","","","","1.4 %","4620"
"Alexi Ogando","Rangers","26","41.2","245","451","696","64.3 %","96.3","30.9 %","81.9","","","","","4.8 %","87.6","","","","","1.7 %","10261"
"Joaquin Benoit","Rays","32","60.1","319","599","918","65.0 %","94.0","12.6 %","85.7","","","","","22.5 %","83.5","","","","","0.5 %","1437"
"Rich Thompson","Angels","25","19.2","103","185","288","47.5 %","92.1","","","31.2 %","88.4","16.7 %","77.8","4.6 %","84.9","","","","","2.1 %","6422"
"Vance Worley","Phillies","22","13.0","78","126","204","65.7 %","91.5","22.6 %","82.8","","","7.4 %","74.4","4.4 %","85.0","","","","","","6435"
"Billy Wagner","Braves","38","69.1","387","715","1102","69.9 %","95.7","29.7 %","83.0","","","","","0.4 %","87.8","","","","","1.3 %","578"
"Andrew Bailey","Athletics","26","49.0","247","505","752","69.2 %","94.3","","","20.3 %","90.0","10.2 %","77.3","0.3 %","85.5","","","","","1.1 %","1368"
"Edgmer Escalona","Rockies","23","6.0","44","58","102","64.5 %","92.7","30.1 %","84.1","","","","","5.4 %","83.4","","","","","8.8 %","8574"
"Michael Kirkman","Rangers","23","16.1","117","161","278","64.4 %","90.9","28.7 %","81.4","","","4.0 %","77.3","2.9 %","78.9","","","","","1.1 %","9877"
"Ernesto Frieri","Padres","24","31.2","209","373","582","79.5 %","92.8","","","","","19.1 %","76.6","1.4 %","84.1","","","","","2.6 %","5178"
"Chris Perez","Indians","24","63.0","377","684","1061","75.9 %","94.6","24.1 %","83.4","","","","","","","","","","","1.8 %","5213"
"Rafael Soriano","Rays","30","62.1","297","620","917","63.0 %","92.9","21.6 %","83.2","15.4 %","90.5","","","","","","","","","1.4 %","1100"
"Mike Adams","Padres","31","66.2","366","712","1078","49.3 %","93.2","","","41.8 %","88.0","3.8 %","80.3","5.2 %","84.3","","","","","0.9 %","1937"
"Joakim Soria","Royals","26","65.2","383","716","1099","73.9 %","91.9","8.1 %","82.0","","","7.1 %","69.4","10.9 %","85.5","","","","","1.5 %","6941"
"Mark Rogers","Brewers","24","10.0","63","84","147","74.8 %","93.4","11.6 %","83.1","","","10.2 %","78.8","3.4 %","84.6","","","","","","4083"
"Mariano Rivera","Yankees","40","60.0","317","611","928","15.1 %","92.2","","","85.0 %","91.1","","","","","","","","","1.9 %","844"
"Jake McGee","Rays","23","5.0","33","49","82","90.1 %","93.5","9.9 %","77.1","","","","","","","","","","","1.2 %","7550"
"Brian Wilson","Giants","28","74.2","469","836","1305","60.9 %","95.9","4.1 %","86.2","35.0 %","89.2","","","","","","","","","1.8 %","6485"
"Tim Stauffer","Padres","28","82.2","457","774","1231","50.8 %","91.2","29.4 %","86.1","","","9.7 %","77.1","10.2 %","81.7","","","","","2.4 %","6432"
"Mike Dunn","Braves","25","19.0","155","222","377","68.6 %","94.8","30.1 %","86.4","","","","","1.4 %","88.0","","","","","2.1 %","9948"
"Heath Bell","Padres","32","70.0","465","757","1222","70.2 %","94.0","","","","","28.6 %","81.6","1.2 %","85.5","","","","","1.1 %","2080"
