"Name","Team","Age","IP","Balls","Strikes","Pitches","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Frank Castillo","Red Sox","35","1.0","10","11","21","57.1 %","84.3","4.8 %","80.0","","","23.8 %","75.0","14.3 %","75.3","","","","","","180"
"Kelly Wunsch","White Sox","31","2.0","9","20","29","24.1 %","83.8","44.8 %","76.8","","","20.7 %","75.0","10.3 %","76.0","","","","","","259"
"Andy Ashby","Padres","36","2.0","10","15","25","76.0 %","88.0","","","","","4.0 %","79.0","20.0 %","82.8","","","","","","637"
"Robin Ventura","Dodgers","36","1.0","5","7","12","","","","","","","","","","","","","","","100.0 %","854"
"Frank Menechino","Blue Jays","33","0.1","3","6","9","66.7 %","79.0","","","","","33.3 %","67.0","","","","","","","","931"
"Abraham Nunez","Pirates","28","0.1","1","2","3","33.3 %","","","","","","","","66.7 %","85.0","","","","","","1420"
"Rodney Myers","Dodgers","35","2.0","4","15","19","","","","","","","","","","","","","","","100.0 %","1511"
"Cody McKay","Cardinals","30","2.0","9","10","19","","","","","","","","","","","","","","","100.0 %","1615"
"Tim Laker","Indians","34","1.0","9","7","16","87.5 %","79.2","","","","","12.5 %","71.0","","","","","","","","1681"
"Jesse Foppert","Giants","23","1.0","8","10","18","66.7 %","89.4","22.2 %","82.8","","","","","11.1 %","80.5","","","","","","1688"
"Derrick Turnbow","Angels","26","6.1","51","48","99","72.9 %","94.8","","","","","8.5 %","81.4","18.6 %","85.5","","","","","39.4 %","1694"
"Trent Durrington","Brewers","28","0.1","0","1","1","100.0 %","","","","","","","","","","","","","","","1805"
"Phil Seibel","Red Sox","25","3.2","42","24","66","68.2 %","86.2","9.1 %","78.3","","","10.6 %","76.5","12.1 %","80.8","","","","","","1905"
"Chris Saenz","Brewers","22","6.0","35","58","93","67.7 %","","9.7 %","","","","19.4 %","","3.2 %","","","","","","","1913"
"Sam Marsonek","Yankees","25","1.1","10","13","23","82.6 %","91.9","4.4 %","84.0","","","8.7 %","76.0","4.4 %","85.0","","","","","","2144"
"Brandon League","Blue Jays","21","4.2","26","37","63","81.0 %","95.3","14.3 %","87.1","","","","","4.8 %","87.7","","","","","","3731"
"Dan Meyer","Braves","22","2.0","12","16","28","75.0 %","86.1","16.7 %","79.0","","","","","8.3 %","76.0","","","","","14.3 %","4402"
"Al Reyes","Cardinals","34","12.0","53","118","171","50.0 %","89.5","24.3 %","80.0","","","","","25.7 %","80.3","","","","","20.5 %","1005"
"Jason Stanford","Indians","27","11.0","70","120","190","62.1 %","87.5","15.3 %","79.4","","","3.7 %","74.3","19.0 %","78.5","","","","","","1763"
"Michael Gonzalez","Pirates","26","43.1","236","431","667","67.9 %","93.2","28.1 %","83.4","","","","","4.0 %","81.4","","","","","21.4 %","1794"
"Scott Williamson","Red Sox","28","28.2","195","277","472","62.3 %","91.4","23.9 %","83.8","","","4.5 %","81.5","2.6 %","84.0","6.7 %","84.6","","","1.1 %","361"
"Armando Benitez","Marlins","31","69.2","332","695","1027","83.2 %","94.7","6.0 %","87.0","","","","","5.3 %","86.4","5.4 %","88.0","","","5.6 %","865"
"Joe Nathan","Twins","29","72.1","450","775","1225","70.8 %","93.8","19.9 %","87.0","0.2 %","91.0","7.5 %","81.3","1.7 %","83.8","","","","","14.9 %","1122"
"Akinori Otsuka","Padres","32","77.1","453","807","1260","58.9 %","90.7","28.1 %","84.6","","","0.8 %","81.5","3.8 %","83.8","8.3 %","84.5","","","4.4 %","1895"
"Steve Kline","Cardinals","31","50.1","288","455","743","56.8 %","87.5","33.2 %","81.7","0.1 %","83.0","0.3 %","75.0","9.6 %","81.1","","","","","2.4 %","1164"
"Francisco Rodriguez","Angels","22","84.0","512","843","1355","55.6 %","93.8","34.0 %","79.7","0.2 %","79.0","10.2 %","79.1","0.2 %","83.5","","","","","1.3 %","1642"
"Brad Lidge","Astros","27","94.2","487","988","1475","48.6 %","95.2","45.1 %","88.4","","","","","5.2 %","87.8","1.1 %","88.2","","","12.8 %","563"
"Randy Flores","Cardinals","28","14.0","68","114","182","44.9 %","87.8","26.9 %","80.2","","","23.7 %","74.3","4.5 %","79.7","","","","","14.3 %","1446"
"Mariano Rivera","Yankees","34","78.2","361","783","1144","48.4 %","93.5","3.8 %","92.7","47.5 %","93.0","","","0.4 %","82.5","","","","","1.7 %","844"
"Jesse Crain","Twins","22","27.0","171","273","444","75.4 %","92.9","12.6 %","85.4","","","11.6 %","72.4","0.5 %","83.0","","","","","10.4 %","4817"
"Ricardo Rodriguez","Rangers","26","26.2","161","255","416","70.9 %","90.9","9.0 %","80.9","","","1.7 %","78.9","16.5 %","84.0","1.9 %","84.5","","","0.7 %","1585"
"Francisco Cordero","Rangers","29","71.2","458","831","1289","66.4 %","96.1","30.0 %","85.9","0.1 %","81.0","0.2 %","79.5","2.8 %","83.6","0.6 %","86.8","","","15.4 %","1243"
"Scott Linebrink","Padres","27","84.0","435","829","1264","71.5 %","92.7","7.1 %","80.3","","","4.9 %","79.2","16.3 %","79.9","0.2 %","81.0","","","2.5 %","564"
"Keith Foulke","Red Sox","31","83.0","414","850","1264","63.5 %","87.8","4.6 %","82.5","0.4 %","85.0","0.9 %","76.8","30.7 %","76.4","","","","","7.6 %","231"
"Giovanni Carrara","Dodgers","36","53.2","312","517","829","48.8 %","88.7","24.3 %","84.2","1.7 %","85.2","13.0 %","70.2","12.3 %","79.6","","","","","8.7 %","643"
"Eric Gagne","Dodgers","28","82.1","398","871","1269","49.9 %","95.7","2.9 %","86.4","","","5.8 %","72.7","34.9 %","85.9","6.5 %","85.8","","","1.3 %","650"
"Tom Gordon","Yankees","36","89.2","427","897","1324","69.5 %","93.5","18.8 %","88.1","0.6 %","91.0","7.5 %","83.8","2.3 %","84.7","1.2 %","88.0","","","1.9 %","282"
"Brian Shouse","Rangers","35","44.1","259","435","694","66.9 %","83.8","23.6 %","75.7","","","","","9.5 %","78.3","","","","","1.6 %","630"
"Jake Peavy","Padres","23","166.1","929","1754","2683","61.1 %","91.3","19.1 %","83.7","1.2 %","87.1","1.9 %","74.7","16.7 %","82.4","","","","","9.1 %","1051"
"B.J. Ryan","Orioles","28","87.0","579","1029","1608","83.2 %","90.3","13.8 %","83.1","","","","","3.0 %","83.2","","","","","4.9 %","168"
"Trevor Hoffman","Padres","36","54.2","250","524","774","60.7 %","85.8","0.7 %","81.7","0.1 %","84.0","4.8 %","73.9","33.7 %","74.1","","","","","5.7 %","1035"
