"Name","Team","Age","IP","Balls","Strikes","Pitches","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Tanyon Sturtze","Dodgers","37","2.1","13","26","39","68.4 %","90.8","","","","","","","","","31.6 %","83.1","","","2.6 %","1230"
"Aaron Miles","Cardinals","31","1.0","3","7","10","80.0 %","73.0","","","","","20.0 %","67.0","","","","","","","","1844"
"Joselo Diaz","Rangers","28","1.0","14","16","30","72.4 %","94.0","","","","","24.1 %","83.6","3.5 %","84.0","","","","","","2057"
"Phil Stockman","Braves","28","7.1","57","72","129","70.5 %","91.2","","","","","29.5 %","76.4","","","","","","","","2206"
"Tony Pena","Royals","27","1.0","4","8","12","66.7 %","89.8","33.3 %","75.5","","","","","","","","","","","","2240"
"Alex Serrano","Angels","27","1.0","2","8","10","60.0 %","86.5","10.0 %","84.0","","","","","30.0 %","82.7","","","","","","2436"
"Neal Musser","Royals","27","1.0","7","6","13","76.9 %","91.8","23.1 %","83.7","","","","","","","","","","","","2727"
"Jon Meloan","Indians","23","2.0","12","14","26","88.5 %","92.2","","","","","11.5 %","82.0","","","","","","","","3355"
"Juan Morillo","Rockies","24","1.0","5","13","18","77.8 %","98.5","11.1 %","89.0","","","","","11.1 %","88.0","","","","","","3369"
"Josh Kinney","Cardinals","29","7.0","31","63","94","61.7 %","89.5","34.0 %","82.2","","","3.2 %","78.0","1.1 %","","","","","","","3638"
"Mike Hinckley","Nationals","25","13.2","82","110","192","56.5 %","90.4","","","","","37.7 %","74.7","5.8 %","79.1","","","","","0.5 %","3769"
"Randy Wells","- - -","25","5.1","24","30","54","57.4 %","89.2","14.8 %","83.5","","","","","27.8 %","81.7","","","","","","4535"
"James McDonald","Dodgers","23","6.0","35","60","95","60.0 %","91.4","","","","","20.0 %","73.1","20.0 %","74.7","","","","","","5523"
"Jae Kuk Ryu","Rays","25","1.1","13","13","26","50.0 %","88.5","3.9 %","76.0","","","","","46.2 %","79.4","","","","","","8228"
"Andrew Carpenter","Phillies","23","1.0","9","10","19","73.3 %","89.5","6.7 %","80.0","","","","","6.7 %","85.0","13.3 %","84.5","","","21.1 %","9533"
"Joey Devine","Athletics","24","45.2","254","463","717","70.6 %","93.1","","","","","29.2 %","81.0","0.1 %","81.0","","","","","1.7 %","9862"
"Phil Coke","Yankees","25","14.2","69","132","201","60.0 %","93.3","34.5 %","83.0","","","","","5.5 %","84.4","","","","","0.5 %","5535"
"Jason Motte","Cardinals","26","11.0","61","110","171","89.4 %","96.6","8.8 %","88.0","","","","","","","1.8 %","83.7","","","0.6 %","5861"
"Jose Mijares","Twins","23","10.1","47","82","129","68.0 %","91.9","23.4 %","79.7","","","","","8.6 %","82.9","","","","","0.8 %","4140"
"Kurt Birkins","Rays","27","10.0","52","79","131","66.4 %","86.7","29.0 %","79.0","","","2.3 %","77.0","2.3 %","81.7","","","","","","7266"
"Brad Ziegler","Athletics","28","59.2","320","514","834","86.6 %","85.3","7.1 %","72.9","","","","","6.3 %","75.5","","","","","3.0 %","7293"
"Jim Miller","Orioles","26","7.2","59","98","157","50.0 %","92.3","31.8 %","85.5","","","18.2 %","74.3","","","","","","","1.9 %","7458"
"Joe Nathan","Twins","33","67.2","376","685","1061","60.8 %","93.5","31.3 %","88.3","","","7.9 %","80.6","","","","","","","1.9 %","1122"
"Mariano Rivera","Yankees","38","70.2","303","676","979","18.0 %","93.1","","","82.0 %","92.8","","","","","","","","","0.6 %","844"
"Grant Balfour","Rays","30","58.1","387","640","1027","91.3 %","94.6","6.6 %","87.0","","","0.8 %","81.4","1.3 %","87.5","","","","","1.3 %","718"
"Peter Moylan","Braves","29","5.2","18","52","70","78.6 %","92.2","21.4 %","78.6","","","","","","","","","","","","4891"
"Joakim Soria","Royals","24","67.1","351","694","1045","72.4 %","90.9","8.8 %","79.0","","","9.9 %","69.0","8.9 %","83.9","","","","","1.7 %","6941"
