"Name","Team","Age","IP","Balls","Strikes","Pitches","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Robert Manuel","Reds","25","4.1","30","49","79","53.9 %","85.3","29.5 %","79.5","","","","","16.7 %","79.0","","","","","1.3 %","817"
"Mark Loretta","Dodgers","37","0.1","2","1","3","100.0 %","78.0","","","","","","","","","","","","","","1383"
"Nick Green","Red Sox","30","2.0","22","13","35","34.3 %","88.2","2.9 %","80.0","62.9 %","87.9","","","","","","","","","","1502"
"Ross Gload","Marlins","33","1.0","10","6","16","100.0 %","76.6","","","","","","","","","","","","","","1538"
"Cody Ross","Marlins","28","1.0","7","12","19","88.9 %","81.3","","","","","5.6 %","72.0","5.6 %","75.0","","","","","5.3 %","1760"
"Dustin Richardson","Red Sox","25","3.1","18","35","53","69.8 %","91.1","5.7 %","81.0","","","11.3 %","76.0","13.2 %","81.1","","","","","","2548"
"Rich Rundles","Indians","28","1.0","14","17","31","43.3 %","82.9","50.0 %","74.6","","","","","6.7 %","82.0","","","","","3.2 %","2760"
"Jon Meloan","Athletics","24","8.1","46","84","130","72.3 %","91.1","","","6.2 %","88.4","20.8 %","78.1","0.8 %","83.0","","","","","","3355"
"Jonathan Van Every","Red Sox","29","0.2","6","9","15","100.0 %","78.0","","","","","","","","","","","","","","3409"
"Nick Swisher","Yankees","28","1.0","10","12","22","100.0 %","75.4","","","","","","","","","","","","","","4599"
"Ernesto Frieri","Padres","23","2.0","11","14","25","76.0 %","95.0","","","","","24.0 %","78.0","","","","","","","","5178"
"Nick Adenhart","Angels","22","6.0","37","61","98","61.2 %","92.0","","","","","23.5 %","77.0","15.3 %","83.3","","","","","","6879"
"Ian Kennedy","Yankees","24","1.0","13","15","28","67.9 %","91.9","25.0 %","86.3","","","3.6 %","78.0","3.6 %","81.0","","","","","","6986"
"Mitch Atkins","Cubs","23","2.0","4","17","21","33.3 %","89.4","52.4 %","84.7","","","14.3 %","75.0","","","","","","","","8369"
"Brad Kilby","Athletics","26","17.0","84","173","257","82.8 %","91.3","9.4 %","82.2","","","","","7.8 %","80.6","","","","","0.8 %","9823"
"Mike Adams","Padres","30","37.0","179","382","561","55.0 %","92.4","","","27.2 %","88.1","10.6 %","79.0","7.2 %","83.5","","","","","1.1 %","1937"
"Justin Berg","Cubs","25","12.0","36","95","131","80.2 %","91.4","19.9 %","83.5","","","","","","","","","","","","1973"
"Dan Runzler","Giants","24","8.2","61","95","156","74.7 %","94.7","20.8 %","83.0","","","3.3 %","80.0","1.3 %","86.0","","","","","1.3 %","4080"
"Esmailin Caridad","Cubs","25","19.1","104","194","298","75.6 %","92.7","","","","","22.7 %","77.0","1.7 %","83.6","","","","","1.0 %","5284"
"Scott Eyre","Phillies","37","30.0","242","320","562","64.2 %","89.8","26.7 %","80.3","","","","","9.1 %","80.5","","","","","","1300"
"Freddy Dolsi","Tigers","26","10.2","80","113","193","63.0 %","94.6","25.5 %","85.8","","","","","11.5 %","87.9","","","","","0.5 %","5424"
"George Sherrill","- - -","32","69.0","416","727","1143","69.8 %","90.2","29.5 %","75.2","","","","","0.7 %","81.3","","","","","2.3 %","6291"
"Billy Wagner","- - -","37","15.2","101","173","274","67.8 %","94.2","27.8 %","83.1","","","","","4.4 %","85.3","","","","","0.4 %","578"
"Jeremy Affeldt","Giants","30","62.1","397","565","962","65.2 %","93.9","","","","","32.2 %","78.4","2.5 %","86.9","","","","","1.7 %","583"
"Claudio Vargas","- - -","31","41.1","272","398","670","76.6 %","91.6","19.5 %","82.0","","","","","3.9 %","82.2","","","","","1.0 %","1695"
"Neftali Feliz","Rangers","21","31.0","185","322","507","70.0 %","95.8","","","","","19.9 %","78.9","10.1 %","86.7","","","","","0.8 %","18"
"Mariano Rivera","Yankees","39","66.1","340","687","1027","7.1 %","91.7","","","92.9 %","91.3","","","","","","","","","1.5 %","844"
"Brendan Donnelly","Marlins","37","25.1","148","243","391","49.2 %","90.1","36.8 %","88.1","","","","","8.8 %","83.7","5.2 %","83.2","","","1.3 %","1441"
